type,label,volume_m^3,volume_mm^3
corridor,corridor,0.098509084446237,98509084.446237
corridor,corridor.001,0.0001716722411637,171672.24116375504
corridor,corridor.002,2.3302381473707e-05,23302.381473707
corridor,corridor.003,3.914832407206317e-05,39148.32407206317
corridor,corridor.004,8.011830684372302e-05,80118.30684372302
corridor,corridor.005,9.331102903306228e-07,933.1102903306228
corridor,corridor.006,0.0001943720764622,194372.0764622935
corridor,corridor.007,4.249777561853208e-05,42497.77561853208
corridor,corridor.008,5.221701699793496e-05,52217.01699793496
corridor,corridor.009,0.098509084446237,98509084.446237
corridor,corridor.010,0.0001732447275055,173244.72750552412
corridor,corridor.011,0.0001190904132224,119090.4132224908
corridor,corridor.012,0.0002227268301889,222726.83018894595
corridor,corridor.013,7.882476881772127e-05,78824.76881772127
corridor,corridor.014,3.376398141423337e-05,33763.98141423337
corridor,corridor.015,0.0004562043231672,456204.323167276
corridor,corridor.016,2.4000053152451083e-06,2400.005315245108
corridor,corridor.017,0.0002131295308933,213129.530893366
corridor,corridor.018,5.355838527731191e-08,53.55838527731191
corridor,corridor.019,2.771418354494634e-05,27714.18354494634
corridor,corridor.020,7.398845321948569e-05,73988.45321948569
corridor,corridor.021,2.4000053152451083e-06,2400.005315245108
corridor,corridor.022,4.167589025272822e-06,4167.589025272821
corridor,corridor.023,4.5454027808508265e-05,45454.02780850827
corridor,corridor.024,2.016506189368441e-06,2016.506189368441
corridor,corridor.025,0.0003519441787397,351944.1787397266
corridor,corridor.026,0.0001518120932726,151812.0932726428
corridor,corridor.027,0.0002299649719323,229964.97193233203
corridor,corridor.028,0.0001407218645098,140721.86450983144
corridor,corridor.029,1.8769775029950065e-05,18769.775029950066
corridor,corridor.030,3.499999831697402e-05,34999.998316974015
corridor,corridor.031,3.623460084113197e-05,36234.60084113197
corridor,corridor.032,4.5454027808508265e-05,45454.02780850827
corridor,corridor.033,8.434102698569735e-06,8434.102698569735
