"cell_label","cell_id","level_1_cell_id","level_1_cell_label"
"hematopoietic stem cell","http://purl.obolibrary.org/obo/CL_0000037","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"fibroblast","http://purl.obolibrary.org/obo/CL_0000057","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"epithelial cell","http://purl.obolibrary.org/obo/CL_0000066","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"blood vessel endothelial cell","http://purl.obolibrary.org/obo/CL_0000071","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"mesothelial cell","http://purl.obolibrary.org/obo/CL_0000077","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"T cell","http://purl.obolibrary.org/obo/CL_0000084","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"mast cell","http://purl.obolibrary.org/obo/CL_0000097","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"mononuclear phagocyte","http://purl.obolibrary.org/obo/CL_0000113","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"endothelial cell","http://purl.obolibrary.org/obo/CL_0000115","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"gut endothelial cell","http://purl.obolibrary.org/obo/CL_0000131","http://purl.obolibrary.org/obo/CL_0000115","endothelial cell"
"adipocyte","http://purl.obolibrary.org/obo/CL_0000136","http://purl.obolibrary.org/obo/CL_0000136","adipocyte"
"melanocyte","http://purl.obolibrary.org/obo/CL_0000148","http://purl.obolibrary.org/obo/CL_0000148","melanocyte"
"club cell","http://purl.obolibrary.org/obo/CL_0000158","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"neuroendocrine cell","http://purl.obolibrary.org/obo/CL_0000165","http://purl.obolibrary.org/obo/CL_0000540","neuron"
"hepatocyte","http://purl.obolibrary.org/obo/CL_0000182","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"myofibroblast cell","http://purl.obolibrary.org/obo/CL_0000186","http://purl.obolibrary.org/obo/CL_0002320","connective tissue cell"
"muscle cell","http://purl.obolibrary.org/obo/CL_0000187","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"smooth muscle cell","http://purl.obolibrary.org/obo/CL_0000192","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"erythrocyte","http://purl.obolibrary.org/obo/CL_0000232","http://purl.obolibrary.org/obo/CL_0000081","blood cell"
"platelet","http://purl.obolibrary.org/obo/CL_0000233","http://purl.obolibrary.org/obo/CL_0000081","blood cell"
"macrophage","http://purl.obolibrary.org/obo/CL_0000235","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"B cell","http://purl.obolibrary.org/obo/CL_0000236","http://purl.obolibrary.org/obo/CL_0000236","B cell"
"serous secreting cell","http://purl.obolibrary.org/obo/CL_0000313","http://purl.obolibrary.org/obo/CL_0000000","unknown cell"
"vascular associated smooth muscle cell","http://purl.obolibrary.org/obo/CL_0000359","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"dendritic cell","http://purl.obolibrary.org/obo/CL_0000451","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"Langerhans cell","http://purl.obolibrary.org/obo/CL_0000453","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"CD4-positive helper T cell","http://purl.obolibrary.org/obo/CL_0000492","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"stromal cell","http://purl.obolibrary.org/obo/CL_0000499","http://purl.obolibrary.org/obo/CL_0000499","stromal cell"
"T-helper 1 cell","http://purl.obolibrary.org/obo/CL_0000545","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"T-helper 2 cell","http://purl.obolibrary.org/obo/CL_0000546","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"monocyte","http://purl.obolibrary.org/obo/CL_0000576","http://purl.obolibrary.org/obo/CL_0000576","monocyte"
"alveolar macrophage","http://purl.obolibrary.org/obo/CL_0000583","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"natural killer cell","http://purl.obolibrary.org/obo/CL_0000623","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"CD4-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0000624","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"CD8-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0000625","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"basal cell","http://purl.obolibrary.org/obo/CL_0000646","http://purl.obolibrary.org/obo/CL_0000034","stem cell"
"kidney granular cell","http://purl.obolibrary.org/obo/CL_0000648","http://purl.obolibrary.org/obo/CL_0000187","muscle cell"
"mesangial cell","http://purl.obolibrary.org/obo/CL_0000650","http://purl.obolibrary.org/obo/CL_0002320","connective tissue cell"
"podocyte","http://purl.obolibrary.org/obo/CL_0000653","http://purl.obolibrary.org/obo/CL_0000066","epithelial cell"
"pericyte","http://purl.obolibrary.org/obo/CL_0000669","http://purl.obolibrary.org/obo/CL_0002320","connective tissue cell"
"basophil","http://purl.obolibrary.org/obo/CL_0000767","http://purl.obolibrary.org/obo/CL_0000081","blood cell"
"neutrophil","http://purl.obolibrary.org/obo/CL_0000775","http://purl.obolibrary.org/obo/CL_0000081","blood cell"
"plasmacytoid dendritic cell","http://purl.obolibrary.org/obo/CL_0000784","http://purl.obolibrary.org/obo/CL_0000451","dendritic cell"
"plasma cell","http://purl.obolibrary.org/obo/CL_0000786","http://purl.obolibrary.org/obo/CL_0000988","hematopoietic cell"
"memory B cell","http://purl.obolibrary.org/obo/CL_0000787","http://purl.obolibrary.org/obo/CL_0000236","B cell"
"naive B cell","http://purl.obolibrary.org/obo/CL_0000788","http://purl.obolibrary.org/obo/CL_0000236","B cell"
"mature alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0000791","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"CD4-positive, CD25-positive, alpha-beta regulatory T cell","http://purl.obolibrary.org/obo/CL_0000792","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"CD8-positive, alpha-beta cytotoxic T cell","http://purl.obolibrary.org/obo/CL_0000794","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"gamma-delta T cell","http://purl.obolibrary.org/obo/CL_0000798","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"mature NK T cell","http://purl.obolibrary.org/obo/CL_0000814","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"regulatory T cell","http://purl.obolibrary.org/obo/CL_0000815","http://purl.obolibrary.org/obo/CL_0000084","T cell"
"classical monocyte","http://purl.obolibrary.org/obo/CL_0000860","http://purl.obolibrary.org/obo/CL_0000576","monocyte"
"inflammatory macrophage","http://purl.obolibrary.org/obo/CL_0000863","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"non-classical monocyte","http://purl.obolibrary.org/obo/CL_0000875","http://purl.obolibrary.org/obo/CL_0000576","monocyte"
"alternatively activated macrophage","http://purl.obolibrary.org/obo/CL_0000890","http://purl.obolibrary.org/obo/CL_0000235","macrophage"
"naive thymus-derived CD4-positive, alpha-beta T cell","http://purl.obolibrary.org/obo/CL_0000895","http://purl.obolibrary.org/obo/CL_0000084","T cell"
