source,target,source_id_lab,target_id_lab,weight,weight_recs,weight_tfidf
6,13,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:b,1,1,0.001925923
6,14,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:cd4-t-cell,1,1,0.044038839
6,15,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:cd57-enterocyte,1,1,0.001721793
6,16,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:cd66-enterocyte,1,1,0.008058699
6,17,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:cd7-immune,1,1,0.000860896
6,18,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:cd8-t,1,1,0.033867838
6,19,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:cycling-ta,1,1,0.090420737
6,20,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:dc,1,1,0.010481634
6,21,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:endothelial,1,1,0.066368892
6,22,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:enterocyte,1,1,0.261829209
6,23,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:goblet,1,1,0.050402372
6,24,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:icc,1,1,0.004774279
6,25,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:lymphatic,1,1,0.024832864
6,26,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:m1-macrophage,1,1,0.001650791
6,27,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:m2-macrophage,1,1,0.040728382
6,28,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:muc1-enterocyte,1,1,0.008777592
6,29,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:nerve,1,1,0.024184973
6,30,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:neuroendocrine,1,1,0.005582513
6,31,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:neutrophil,1,1,0.002804569
6,32,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:nk,1,1,0.002147803
6,33,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:paneth,1,1,0.012657015
6,34,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:plasma,1,1,0.037772934
6,35,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:smooth-muscle,1,1,0.064469595
6,36,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:stroma,1,1,0.05235492
6,37,FMA:14926 Superior part of Duodenum,ASCTB-TEMP:ta,1,1,0.014362042
7,13,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:b,1,1,0.001330412
7,14,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:cd4-t-cell,1,1,0.03989315
7,15,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:cd57-enterocyte,1,1,0.002428498
7,16,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:cd66-enterocyte,1,1,0.006491127
7,17,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:cd7-immune,1,1,0.002446534
7,18,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:cd8-t,1,1,0.049026437
7,19,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:cycling-ta,1,1,0.053446563
7,20,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:dc,1,1,0.008321531
7,21,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:endothelial,1,1,0.064314328
7,22,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:enterocyte,1,1,0.247961107
7,23,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:goblet,1,1,0.047695288
7,24,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:icc,1,1,0.00463641
7,25,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:lymphatic,1,1,0.020448643
7,26,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:m1-macrophage,1,1,0.006637536
7,27,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:m2-macrophage,1,1,0.037007033
7,28,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:muc1-enterocyte,1,1,0.011096509
7,29,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:nerve,1,1,0.021132042
7,30,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:neuroendocrine,1,1,0.006668346
7,31,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:neutrophil,1,1,0.00410996
7,32,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:nk,1,1,0.001799022
7,33,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:paneth,1,1,0.019809786
7,34,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:plasma,1,1,0.046274783
7,35,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:smooth-muscle,1,1,0.070923257
7,36,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:stroma,1,1,0.057308739
7,37,FMA:14928 Descending part of Duodenum,ASCTB-TEMP:ta,1,1,0.012873439
8,13,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:b,1,1,0.044458305
8,14,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd4-t-cell,1,1,0.042558061
8,15,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd57-enterocyte,1,1,0.000288077
8,16,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd66-enterocyte,1,1,0.005506442
8,17,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd7-immune,1,1,0.003336111
8,18,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cd8-t,1,1,0.066817755
8,19,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:cycling-ta,1,1,0.022711017
8,20,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:dc,1,1,0.011661586
8,21,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:endothelial,1,1,0.066221725
8,22,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:enterocyte,1,1,0.235225133
8,23,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:goblet,1,1,0.03418926
8,24,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:icc,1,1,0.006275395
8,25,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:lymphatic,1,1,0.022591775
8,26,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:m1-macrophage,1,1,0.004742972
8,27,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:m2-macrophage,1,1,0.039905657
8,28,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:muc1-enterocyte,1,1,0.003716629
8,29,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:nerve,1,1,0.029525643
8,30,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:neuroendocrine,1,1,0.004267515
8,31,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:neutrophil,1,1,0.00872811
8,32,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:nk,1,1,0.001375998
8,33,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:paneth,1,1,0.019826496
8,34,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:plasma,1,1,0.02910056
8,35,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:smooth-muscle,1,1,0.118388703
8,36,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:stroma,1,1,0.065228192
8,37,FMA:14929 Horizontal part of Duodenum,ASCTB-TEMP:ta,1,1,0.013146115
9,13,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:b,1,1,0.044458305
9,14,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd4-t-cell,1,1,0.042558061
9,15,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd57-enterocyte,1,1,0.000288077
9,16,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd66-enterocyte,1,1,0.005506442
9,17,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd7-immune,1,1,0.003336111
9,18,FMA:14930 Ascending part of Duodenum,ASCTB-TEMP:cd8-t,1,1,0.066817755
