organ,as_label,cell_id,cell_label,cell_percentage,anatomical_structure_of,node_name,label,glb file of single organs,color
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000084,T,0.001890946741352456,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#fcb162
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000097,Mast,9.004508292154553e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#97e899
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000236,B,1.968915807322424e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#1a2e47
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000786,Plasma,0.0006500047385240431,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#630cbd
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000814,Natural Killer T,1.968915807322424e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#62662e
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000875,Non-classical monocyte,3.937831614644848e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#fecdc5
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000890,M2 Macrophage,0.01332667227238874,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#b88ef4
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0002201,Intercalated Type B,0.0003347156872448121,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#232c8a
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0011031,Monocyte-derived,0.0008694732205135825,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#62c361
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000597,Papillary Tip Epithelial,1.968915807322424e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#8f1976
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000692,Fibroblast,0.0002701352487646366,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#8eff01
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000714,Cortical Collecting Duct Principal,0.0017245077251068,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#b7d781
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000716,Outer Medullary Collecting Duct Principal,0.0334067257638934,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#78a27d
