gene_label,ct_label,as_label,avg_mean_gene_expr,cell_instance_count,dataset_count,as,ct,gene
ABCA9,airway submucosal gland collecting duct epithelial cell,lung,2.539902687,4,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4033023,http://identifiers.org/hgnc/39
ABCA9,adipocyte,heart,2.428699017,21,3,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000136,http://identifiers.org/hgnc/39
ABCA9,mesenchymal stem cell,adipose tissue,2.140508416,49,1,http://purl.obolibrary.org/obo/UBERON_0001013,http://purl.obolibrary.org/obo/CL_0000134,https://purl.org/ccf/ASCTB-TEMP_abca9
ABCA9,fibroblast,Posteromedial head of posterior papillary muscle of left ventricle,2.066471974,1957,2,http://purl.org/sig/ont/fma/fma7267,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/39
ABCA9,fibroblast,heart right ventricle,1.884444229,15105,12,http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/39
ABCA9,fibroblast,interventricular septum,1.869624424,5580,6,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/39
ABCA9,alveolar adventitial fibroblast,lung,1.839774585,535,5,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4028006,http://identifiers.org/hgnc/39
ABCA9,fibroblast,heart left ventricle,1.830271745,17567,16,http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/39
ABCA9,fibroblast,left cardiac atrium,1.553601955,10053,7,http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/39
ABCA9,fibroblast,right cardiac atrium,1.355411867,2136,3,http://purl.obolibrary.org/obo/UBERON_0002078,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/39
ABCA9,club cell,lung,0.9647440016,133,2,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000158,http://identifiers.org/hgnc/39
ABCA9,kidney interstitial fibroblast,kidney,0.6042416692,117,1,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/39
ABCA9,alveolar adventitial fibroblast,Lateral bronchopulmonary segment,0.4024251699,204,1,http://purl.org/sig/ont/fma/fma7361,http://purl.obolibrary.org/obo/CL_4028006,http://identifiers.org/hgnc/39
ABCA9,small intestine goblet cell,small intestine,0.01569500177,357,1,http://purl.obolibrary.org/obo/UBERON_0002108,http://purl.obolibrary.org/obo/CL_1000495,https://purl.org/ccf/ASCTB-TEMP_abca9
ABCC9,capillary endothelial cell,heart,3.931118488,7,1,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002144,http://identifiers.org/hgnc/60
ABCC9,endothelial cell,heart,3.622324228,15,2,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000115,http://identifiers.org/hgnc/60
ABCC9,macrophage,heart,3.549655437,145,4,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000235,http://identifiers.org/hgnc/60
ABCC9,"CD14-low, CD16-positive monocyte",heart,3.463233948,5,1,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002396,http://identifiers.org/hgnc/60
ABCC9,pericyte,heart,3.311329522,415299,321,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,fibroblast,heart,3.205006599,35,1,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000057,http://identifiers.org/hgnc/60
ABCC9,adipocyte,heart,3.144569159,2,1,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000136,http://identifiers.org/hgnc/60
ABCC9,cycling macrophage,heart,2.860228062,5,1,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_4033076,http://identifiers.org/hgnc/60
ABCC9,pancreatic PP cell,pancreas,2.348809838,124,1,http://purl.obolibrary.org/obo/UBERON_0001264,http://purl.obolibrary.org/obo/CL_0002275,http://identifiers.org/hgnc/60
ABCC9,pancreatic PP cell,pancreas,2.188654881,85,1,http://purl.obolibrary.org/obo/UBERON_0001264,http://purl.obolibrary.org/obo/CL_0002275,https://purl.org/ccf/ASCTB-TEMP_abcc9
ABCC9,pericyte,right cardiac atrium,1.784620523,3393,6,http://purl.obolibrary.org/obo/UBERON_0002078,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,renal interstitial pericyte,kidney,1.752714634,69,1,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/60
ABCC9,kidney interstitial fibroblast,kidney,1.498914957,44,2,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000692,http://identifiers.org/hgnc/60
ABCC9,pericyte,left cardiac atrium,1.441741422,10373,6,http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,pericyte,Posteromedial head of posterior papillary muscle of left ventricle,1.384098858,852,1,http://purl.org/sig/ont/fma/fma7267,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,pericyte,heart right ventricle,1.328947513,44810,9,http://purl.obolibrary.org/obo/UBERON_0002080,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,pericyte,lung,1.326743215,10,2,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,pericyte,interventricular septum,1.237302551,39022,5,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,pericyte,heart left ventricle,1.227526917,226765,29,http://purl.obolibrary.org/obo/UBERON_0002084,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/60
ABCC9,capillary endothelial cell,thymus,0.7134652184,19,1,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0002144,https://purl.org/ccf/ASCTB-TEMP_abcc9
ACAN,megakaryocyte-erythroid progenitor cell,bone marrow,4.489795685,49,1,http://purl.obolibrary.org/obo/UBERON_0002371,http://purl.obolibrary.org/obo/CL_0000050,http://identifiers.org/hgnc/319
ACAN,endothelial cell of respiratory system lymphatic vessel,lung,2.32133007,149,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0009086,http://identifiers.org/hgnc/319
ACAN,lung pericyte,lung,2.289031029,199,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0009089,http://identifiers.org/hgnc/319
ACAN,bronchial smooth muscle cell,Left posterior basal segmental bronchus,1.398894277,4,2,http://purl.org/sig/ont/fma/fma7508,http://purl.obolibrary.org/obo/CL_0002598,https://purl.org/ccf/ASCTB-TEMP_acan
ACAN,bronchial smooth muscle cell,lung,1.398894277,4,2,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002598,https://purl.org/ccf/ASCTB-TEMP_acan
ACAN,lung macrophage,lung,0.9565581083,204,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_1001603,http://identifiers.org/hgnc/319
ACER1,corneocyte,skin of body,0.03041788004,3475,1,http://purl.obolibrary.org/obo/UBERON_0002097,http://purl.obolibrary.org/obo/CL_0002153,http://identifiers.org/hgnc/18356
ACKR1,blood vessel endothelial cell,lung,4.835372273,16,1,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0000071,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,lung microvascular endothelial cell,lung,4.44896004,9833,122,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_2000016,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,lung,4.384952532,27945,151,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,right thymus lobe,3.961434289,2163,2,http://purl.obolibrary.org/obo/UBERON_0005469,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,left thymus lobe,3.961434289,2163,2,http://purl.obolibrary.org/obo/UBERON_0005457,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,retinal blood vessel endothelial cell,eye,3.91816544,2090,6,http://purl.obolibrary.org/obo/UBERON_0000970,http://purl.obolibrary.org/obo/CL_0002585,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,mammary lobe,3.656006222,658,1,http://purl.obolibrary.org/obo/UBERON_0018140,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,Interlobar adipose tissue of left mammary gland,3.656006222,658,1,http://purl.org/sig/ont/fma/fma73166,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,main lactiferous duct,3.656006222,658,1,http://purl.obolibrary.org/obo/UBERON_0015134,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,mammary gland,3.656006222,658,1,http://purl.obolibrary.org/obo/UBERON_0001911,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell,thymus,3.557199298,13662,12,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0002543,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell,trachea,3.549007433,3659,3,http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vasa recta ascending limb cell,kidney,3.431616068,232,2,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001131,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell,left cardiac atrium,3.413319826,1083,2,http://purl.obolibrary.org/obo/UBERON_0002079,http://purl.obolibrary.org/obo/CL_0002543,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell of venule,heart,3.340567928,10278,45,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_1000414,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell,prostate gland,3.236783314,1576,1,http://purl.obolibrary.org/obo/UBERON_0002367,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
