gene_label,gene
HIGD1B,http://identifiers.org/hgnc/24318
ICAM1,http://identifiers.org/hgnc/5344
ICOS,http://identifiers.org/hgnc/5351
IFNG,http://identifiers.org/hgnc/5438
IFNG-AS1,http://identifiers.org/hgnc/43910
IGFBP6,http://identifiers.org/hgnc/5475
IGLL1,http://identifiers.org/hgnc/5870
IGSF21,http://identifiers.org/hgnc/28246
IL18R1,http://identifiers.org/hgnc/5988
ITGA2B,http://identifiers.org/hgnc/6138
ITGA8,http://identifiers.org/hgnc/6144
ITPRID1,http://identifiers.org/hgnc/27363
JAML,http://identifiers.org/hgnc/19084
KLK11,http://identifiers.org/hgnc/6359
KLRD1,http://identifiers.org/hgnc/6378
KLRF1,http://identifiers.org/hgnc/13342
KLRK1,http://identifiers.org/hgnc/18788
KRT14,http://identifiers.org/hgnc/6416
KRT15,http://identifiers.org/hgnc/6421
KRT17,http://identifiers.org/hgnc/6427
KRT18,http://identifiers.org/hgnc/6430
KRT19,http://identifiers.org/hgnc/6436
KRT5,http://identifiers.org/hgnc/6442
KRT8,http://identifiers.org/hgnc/6446
LAMP3,http://identifiers.org/hgnc/14582
LCK,http://identifiers.org/hgnc/6524
LEF1,http://identifiers.org/hgnc/6551
LILRA4,http://identifiers.org/hgnc/15503
LTF,http://identifiers.org/hgnc/6720
LUM,http://identifiers.org/hgnc/6724
LY6D,http://identifiers.org/hgnc/13348
LYPD3,http://identifiers.org/hgnc/24880
LYVE1,http://identifiers.org/hgnc/14687
MAL,http://identifiers.org/hgnc/6817
MCAM,http://identifiers.org/hgnc/6934
MFAP4,http://identifiers.org/hgnc/7035
MFAP5,http://identifiers.org/hgnc/29673
MKI67,http://identifiers.org/hgnc/7107
MKI67,https://purl.org/ccf/ASCTB-TEMP_mki67
MLANA,http://identifiers.org/hgnc/7124
MMP2,http://identifiers.org/hgnc/7166
MMP3,http://identifiers.org/hgnc/7173
MMP9,http://identifiers.org/hgnc/7176
MMRN1,http://identifiers.org/hgnc/7178
MPO,http://identifiers.org/hgnc/7218
MRC1,http://identifiers.org/hgnc/7228
MS4A1,http://identifiers.org/hgnc/7315
MS4A1,https://purl.org/ccf/ASCTB-TEMP_ms4a1
MS4A2,http://identifiers.org/hgnc/7316
MS4A2,https://purl.org/ccf/ASCTB-TEMP_ms4a2
MS4A7,http://identifiers.org/hgnc/13378
MUC5AC,http://identifiers.org/hgnc/7515
MUC5B,http://identifiers.org/hgnc/7516
MYH11,http://identifiers.org/hgnc/7569
MYH11,https://purl.org/ccf/ASCTB-TEMP_myh11
MYH7,http://identifiers.org/hgnc/7577
MYL7,http://identifiers.org/hgnc/21719
MZB1,http://identifiers.org/hgnc/30125
NCAM1,http://identifiers.org/hgnc/7656
NCAM1,https://purl.org/ccf/ASCTB-TEMP_ncam1
NCR2,http://identifiers.org/hgnc/6732
NDUFA4L2,http://identifiers.org/hgnc/29836
NFATC1,http://identifiers.org/hgnc/7775
NOTCH3,http://identifiers.org/hgnc/7883
NPPA,http://identifiers.org/hgnc/7939
NRXN1,http://identifiers.org/hgnc/8008
NRXN3,http://identifiers.org/hgnc/8010
NT5E,http://identifiers.org/hgnc/8021
NTRK3,http://identifiers.org/hgnc/8033
NUGGC,http://identifiers.org/hgnc/33550
OGN,http://identifiers.org/hgnc/8126
OGN,https://purl.org/ccf/ASCTB-TEMP_ogn
OLR1,http://identifiers.org/hgnc/8133
PAX5,http://identifiers.org/hgnc/8619
PAX5,https://purl.org/ccf/ASCTB-TEMP_pax5
PCDH15,http://identifiers.org/hgnc/14674
PDGFRA,http://identifiers.org/hgnc/8803
PDGFRB,http://identifiers.org/hgnc/8804
PDPN,http://identifiers.org/hgnc/29602
PECAM1,http://identifiers.org/hgnc/8823
PF4,http://identifiers.org/hgnc/8861
PGLYRP1,http://identifiers.org/hgnc/8904
PI16,http://identifiers.org/hgnc/21245
PIEZO2,http://identifiers.org/hgnc/26270
PLD4,http://identifiers.org/hgnc/23792
PLEK,http://identifiers.org/hgnc/9070
PLN,http://identifiers.org/hgnc/9080
PLP1,http://identifiers.org/hgnc/9086
PLVAP,http://identifiers.org/hgnc/13635
POSTN,http://identifiers.org/hgnc/16953
PRF1,http://identifiers.org/hgnc/9360
PRG4,http://identifiers.org/hgnc/9364
PROX1,http://identifiers.org/hgnc/9459
PRSS57,http://identifiers.org/hgnc/31397
PTCRA,http://identifiers.org/hgnc/21290
PTGDR,http://identifiers.org/hgnc/9591
PTGDR2,http://identifiers.org/hgnc/4502
PTPRC,http://identifiers.org/hgnc/9666
PTPRC,https://purl.org/ccf/ASCTB-TEMP_ptprc
RGS5,http://identifiers.org/hgnc/10001
RORB,http://identifiers.org/hgnc/10259
RTKN2,http://identifiers.org/hgnc/19364
RXFP1,http://identifiers.org/hgnc/19718
S100A12,http://identifiers.org/hgnc/10489
S100A14,http://identifiers.org/hgnc/18901
S100A8,http://identifiers.org/hgnc/10498
SCARA5,http://identifiers.org/hgnc/28701
SCEL,http://identifiers.org/hgnc/10573
SCG2,http://identifiers.org/hgnc/10575
SCGB3A2,http://identifiers.org/hgnc/18391
SDC1,http://identifiers.org/hgnc/10658
SELL,http://identifiers.org/hgnc/10720
SFN,http://identifiers.org/hgnc/10773
SFRP1,http://identifiers.org/hgnc/10776
SH3TC1,http://identifiers.org/hgnc/26009
SIGLEC1,http://identifiers.org/hgnc/11127
SLC30A8,http://identifiers.org/hgnc/20303
SLC39A8,http://identifiers.org/hgnc/20862
SLC4A1,http://identifiers.org/hgnc/11027
SLC5A12,http://identifiers.org/hgnc/28750
SLC6A12,http://identifiers.org/hgnc/11045
SMIM24,http://identifiers.org/hgnc/37244
SMPD3,http://identifiers.org/hgnc/14240
SOX10,http://identifiers.org/hgnc/11190
SOX10,https://purl.org/ccf/ASCTB-TEMP_sox10
SOX17,http://identifiers.org/hgnc/18122
SOX17,https://purl.org/ccf/ASCTB-TEMP_sox17
SOX2,http://identifiers.org/hgnc/11195
SOX4,http://identifiers.org/hgnc/11200
SOX9,http://identifiers.org/hgnc/11204
SOX9,https://purl.org/ccf/ASCTB-TEMP_sox9
SPDEF,http://identifiers.org/hgnc/17257
SPINK2,http://identifiers.org/hgnc/11245
SPINK2,https://purl.org/ccf/ASCTB-TEMP_spink2
SPP1,http://identifiers.org/hgnc/11255
SRPX,http://identifiers.org/hgnc/11309
TCF7,http://identifiers.org/hgnc/11639
TCL1A,http://identifiers.org/hgnc/11648
TFRC,http://identifiers.org/hgnc/11763
TH,http://identifiers.org/hgnc/11782
THBD,http://identifiers.org/hgnc/11784
THEMIS,http://identifiers.org/hgnc/21569
THY1,http://identifiers.org/hgnc/11801
TMIGD2,http://identifiers.org/hgnc/28324
TNFRSF13B,http://identifiers.org/hgnc/18153
TNFRSF17,http://identifiers.org/hgnc/11913
TNFSF11,http://identifiers.org/hgnc/11926
TP53,http://identifiers.org/hgnc/11998
TP63,http://identifiers.org/hgnc/15979
TPSAB1,http://identifiers.org/hgnc/12019
TPSB2,http://identifiers.org/hgnc/14120
TRAT1,http://identifiers.org/hgnc/30698
TRDN,http://identifiers.org/hgnc/12261
TRPM5,http://identifiers.org/hgnc/14323
TRPV1,http://identifiers.org/hgnc/12716
TUBB3,http://identifiers.org/hgnc/20772
UPK1B,http://identifiers.org/hgnc/12578
UPK3A,http://identifiers.org/hgnc/12580
VCAN,http://identifiers.org/hgnc/2464
VEGFA,http://identifiers.org/hgnc/12680
VIM,http://identifiers.org/hgnc/12692
WIF1,http://identifiers.org/hgnc/18081
WT1,http://identifiers.org/hgnc/12796
XCL1,http://identifiers.org/hgnc/10645
XCL2,http://identifiers.org/hgnc/10646
ZNF683,http://identifiers.org/hgnc/28495
