gene_label,ct_label,as_label,avg_mean_gene_expr,as,ct,gene
ACTA2,renal interstitial pericyte,renal papilla,0.963027,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,kidney capsule,0.963027,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,kidney,0.963027,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,kidney blood vessel,0.963027,http://purl.obolibrary.org/obo/UBERON_0003517,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,kidney pyramid,0.963027,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,renal column,0.963027,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,outer cortex of kidney,0.963027,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ADGRF5,kidney collecting duct intercalated cell,collecting duct of renal tubule,1.749532,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001432,http://identifiers.org/hgnc/19030
BANK1,B cell,kidney capsule,1.973676,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/18233
BANK1,B cell,kidney,1.973676,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/18233
BANK1,B cell,kidney pyramid,1.973676,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/18233
BANK1,B cell,kidney interstitium,1.973676,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/18233
BANK1,B cell,renal column,1.973676,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/18233
BANK1,B cell,outer cortex of kidney,1.973676,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/18233
BLK,B cell,kidney capsule,1.18896,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/1057
BLK,B cell,kidney,1.18896,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/1057
BLK,B cell,kidney pyramid,1.18896,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/1057
BLK,B cell,kidney interstitium,1.18896,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/1057
BLK,B cell,renal column,1.18896,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/1057
BLK,B cell,outer cortex of kidney,1.18896,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000236,http://identifiers.org/hgnc/1057
CA12,kidney collecting duct intercalated cell,collecting duct of renal tubule,1.919595,http://purl.obolibrary.org/obo/UBERON_0001232,http://purl.obolibrary.org/obo/CL_1001432,http://identifiers.org/hgnc/1371
CA12,kidney distal convoluted tubule epithelial cell,distal convoluted tubule,1.551981,http://purl.obolibrary.org/obo/UBERON_0001292,http://purl.obolibrary.org/obo/CL_1000849,http://identifiers.org/hgnc/1371
