Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
CLEC17A,ENSG00000187912,"immune lymphoid, B",immature B cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
DERL3,ENSG00000099958,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,TRUE,"General - B cells,General - T cells,Skin - Melanocytes",FALSE,
FCRL1,ENSG00000163534,"immune lymphoid, B","follicular B cell,naive B cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FCRL5,ENSG00000143297,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FCRLA,ENSG00000132185,"immune lymphoid, B","class switched memory B cell,follicular B cell,immature B cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MS4A1,ENSG00000156738,"immune lymphoid, B","class switched memory B cell,follicular B cell,immature B cell,mature B cell,memory B cell,naive B cell,pre-B cell",TOP 5 (CZI) List; MxIF Proteins,,,CD20,TRUE,"General - B cells,General - T cells",FALSE,
MZB1,ENSG00000170476,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,TRUE,"Colon - Undifferentiated cells,General - B cells,General - T cells,Skin - Melanocytes",TRUE,
NIBAN3,ENSG00000167483,"immune lymphoid, B",pre-B cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NUGGC,ENSG00000189233,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PAX5,ENSG00000196092,"immune lymphoid, B","class switched memory B cell,mature B cell,naive B cell,pre-B cell",TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
SDC1,ENSG00000115884,"immune lymphoid, B",plasma cells,MxIF Proteins,,,CD138/ syndecan1,FALSE,NA,FALSE,
TCL1A,ENSG00000100721,"immune lymphoid, B","immature B cell,mature B cell,naive B cell,pre-B cell",TOP 5 (CZI) List,,,,TRUE,General - B cells,FALSE,
TNFRSF13B,ENSG00000240505,"immune lymphoid, B","class switched memory B cell,memory B cell",TOP 5 (CZI) List,,,,TRUE,General - B cells,FALSE,
TNFRSF13C,ENSG00000159958,"immune lymphoid, B","class switched memory B cell,memory B cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNFRSF17,ENSG00000048462,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,TRUE,General - B cells,FALSE,
VPREB3,ENSG00000128218,"immune lymphoid, B","follicular B cell,immature B cell,mature B cell,memory B cell,naive B cell,pre-B cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD14,ENSG00000170458,"immune lymphoid, innate","monocytes, macrophages",MxIF Proteins,,,,TRUE,"Breast - Breast glandular cells,Colon - Distal enterocytes,General - Macrophages,General - Monocytes,Liver - Hepatic stellate cells,Liver - Kupffer cells,Skin - Langerhans cells",TRUE,
FUT4,ENSG00000196371,"immune lymphoid, innate","neutrophils, eosinophils, monocytes",MxIF Proteins,,,CD15,FALSE,NA,FALSE,
IL23R,ENSG00000162594,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TMIGD2,ENSG00000167664,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNFSF11,ENSG00000120659,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
XCL1,ENSG00000143184,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FCGR3A,ENSG00000203747,"immune lymphoid, NK","natural killer (NK) cells, non classical monocytes, and neutrophil",MxIF Proteins; Tissue expert added,,,CD16 / FcgRIIIa,TRUE,"Breast - Dendritic cells,General - Macrophages,General - Monocytes,General - T cells,Liver - Kupffer cells",TRUE,
CCL5,ENSG00000271503,"immune lymphoid, T","effector CD8 T cell,effector memory CD8 T cell","TOP 5 (CZI) List, Tissue  expert added (Uterus)",,,,TRUE,"Breast - Dendritic cells,General - T cells,Lung - Alveolar cells type 2,Pancreas - Ductal cells",FALSE,
CD2,ENSG00000116824,"immune lymphoid, T","NK T cell,T follicular helper cell,central memory CD4 T cell,effector memory CD4 T cell",TOP 5 (CZI) List,,,,TRUE,General - T cells,TRUE,
CD28,ENSG00000178562,"immune lymphoid, T",effector CD4 T cell,TOP 5 (CZI) List,,,,TRUE,"General - B cells,General - T cells",FALSE,
CD3D,ENSG00000167286,"immune lymphoid, T",T follicular helper cell,TOP 5 (CZI) List,,,,TRUE,"Breast - Dendritic cells,General - T cells",FALSE,
CD3E,ENSG00000198851,"immune lymphoid, T","T cells, CD4_naive, NK T cell,effector memory CD8 T cell",TOP 5 (CZI) List; MxIF Proteins; Tissue expert added,,,,TRUE,General - T cells,FALSE,
CD3G,ENSG00000160654,"immune lymphoid, T","NK T cell,effector memory CD4 T cell,naive CD8 T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD4,ENSG00000010610,"immune lymphoid, T","CD4+ T cells, but also monocytes and macrophages, and others",MxIF Proteins,,,,TRUE,"General - Macrophages,General - T cells,Liver - Hepatic stellate cells,Liver - Kupffer cells,Skin - Langerhans cells",TRUE,
CD40LG,ENSG00000102245,"immune lymphoid, T","T follicular helper cell,central memory CD4 T cell,effector CD4 T cell,effector memory CD4 T cell,naive CD4 T cell,regulatory T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD5,ENSG00000110448,"immune lymphoid, T","effector CD4 T cell,regulatory T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD6,ENSG00000013725,"immune lymphoid, T","effector memory CD4 T cell,naive CD4 T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD8A,ENSG00000153563,"immune lymphoid, T","central memory CD8 T cell,effector CD8 T cell,effector memory CD8 T cell,gamma-delta T cell,mucosal invariant T cell,naive CD8 T cell",TOP 5 (CZI) List; MxIF Proteins,,,,TRUE,"Breast - Dendritic cells,General - T cells",TRUE,
CD8B,ENSG00000172116,"immune lymphoid, T","central memory CD8 T cell,naive CD8 T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CST7,ENSG00000077984,"immune lymphoid, T",effector memory CD8 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CTLA4,ENSG00000163599,"immune lymphoid, T",regulatory T cell,TOP 5 (CZI) List,,,,TRUE,"General - B cells,General - Immune checkpoint,General - T cells",FALSE,
CXCR6,ENSG00000172215,"immune lymphoid, T",mucosal invariant T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FOXP3,ENSG00000049768,"immune lymphoid, T",regulatory T cell,TOP 5 (CZI) List; MxIF Proteins,,,,TRUE,General - T cells,TRUE,
GPR171,ENSG00000174946,"immune lymphoid, T",mucosal invariant T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
GZMA,ENSG00000145649,"immune lymphoid, T","effector CD8 T cell,effector memory CD8 T cell,gamma-delta T cell",TOP 5 (CZI) List,,,,TRUE,"Breast - Dendritic cells,General - T cells",FALSE,
GZMH,ENSG00000100450,"immune lymphoid, T",effector CD8 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
GZMK,ENSG00000113088,"immune lymphoid, T","NK T cell,mucosal invariant T cell",TOP 5 (CZI) List,,,,TRUE,General - T cells,FALSE,
GZMM,ENSG00000197540,"immune lymphoid, T",naive CD8 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ICOS,ENSG00000163600,"immune lymphoid, T","effector CD4 T cell,regulatory T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
IFNG,ENSG00000111537,"immune lymphoid, T",effector CD8 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ITK,ENSG00000113263,"immune lymphoid, T","T follicular helper cell,central memory CD4 T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
KLRK1,ENSG00000213809,"immune lymphoid, T",central memory CD8 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MAL,ENSG00000172005,"immune lymphoid, T",naive CD4 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NFATC1,ENSG00000131196,"immune lymphoid, T","T cell transcription factor, and others",MxIF Proteins,,,,FALSE,NA,FALSE,
THEMIS,ENSG00000172673,"immune lymphoid, T","central memory CD8 T cell,mucosal invariant T cell,naive CD8 T cell",TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
TRAT1,ENSG00000163519,"immune lymphoid, T","T follicular helper cell,central memory CD4 T cell,effector CD4 T cell,effector memory CD4 T cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
XCL2,ENSG00000143185,"immune lymphoid, T","gamma-delta T cell,innate lymphoid cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ZNF683,ENSG00000176083,"immune lymphoid, T",central memory CD8 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ZNF831,ENSG00000124203,"immune lymphoid, T",central memory CD4 T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
LEF1,ENSG00000138795,"immune lymphoid, T; epithelial",naive CD4 T cell; Hair shaft matrix )skin),TOP 5 (CZI) List; Tissue expert added,,,,FALSE,NA,FALSE,
CCR7,ENSG00000126353,"immune lymphoid, T; myloid?",naive CD4 T cell; (DC_CD1C_migrating; DC Skin),"TOP 5 (CZI) List, Tissue  expert added (skin)",,,,TRUE,"General - B cells,General - Monocytes,General - T cells,Skin - Langerhans cells",FALSE,
CD96,ENSG00000153283,"immune lymphoid, T/NKT",NK T cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
IFNG-AS1,ENSG00000255733,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
JAML,ENSG00000160593,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
KLRC2,ENSG00000205809,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
KLRC3,ENSG00000205810,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
LCK,ENSG00000182866,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
PTGDR,ENSG00000168229,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
PTCRA,ENSG00000171611,"immune lymphoid, thymoctye","double negative thymocyte,plasmacytoid dendritic cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SELL,ENSG00000188404,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,TRUE,"General - B cells,General - Macrophages,General - T cells,Liver - Kupffer cells",FALSE,
SH2D1A,ENSG00000183918,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SH3TC1,ENSG00000125089,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SMIM24,ENSG00000095932,"immune lymphoid, thymoctye","double negative thymocyte,hematopoietic stem cell",TOP 5 (CZI) List,,,,TRUE,"Colon - Enteroendocrine cells,Kidney - Proximal tubular cells,Liver - Cholangiocytes",FALSE,
SMPD3,ENSG00000103056,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SOCS2,ENSG00000120833,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TCF7,ENSG00000081059,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TFDP2,ENSG00000114126,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
UGT3A2,ENSG00000168671,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CD1C,ENSG00000158481,"immune myeloid, dendritic","conventional dendritic cell, cDC2",TOP 5 (CZI) List;MxIF Proteins,,,,TRUE,"General - Dendritic cells,General - Macrophages,Skin - Langerhans cells",FALSE,
CLEC10A,ENSG00000132514,"immune myeloid, dendritic","conventional dendritic cell, cDC2",TOP 5 (CZI) List,,,,TRUE,"General - Macrophages,Skin - Langerhans cells",TRUE,
CLEC4C,ENSG00000198178,"immune myeloid, dendritic",plasmacytoid dendritic cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CLEC9A,ENSG00000197992,"immune myeloid, dendritic",conventional dendritic cell,TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
CSF2RA,ENSG00000198223,"immune myeloid, dendritic",conventional dendritic cell,TOP 5 (CZI) List,,Check this gene ID from the CZI list,,TRUE,"General - Macrophages,General - Monocytes,Skin - Langerhans cells",TRUE,
FCER1A,ENSG00000179639,"immune myeloid, dendritic","conventional dendritic cell, cDC2",TOP 5 (CZI) List,,,,TRUE,"General - Granulocytes,General - Macrophages,General - Myeloid dendritic cells,Skin - Langerhans cells",FALSE,
LILRA4,ENSG00000239961,"immune myeloid, dendritic",plasmacytoid dendritic cell,TOP 5 (CZI) List,,,,TRUE,General - Plasmacytoid dendritic cells,FALSE,
PLD4,ENSG00000166428,"immune myeloid, dendritic",plasmacytoid dendritic cell,TOP 5 (CZI) List,,,,TRUE,General - Macrophages,FALSE,
CXCL10,ENSG00000169245,"immune myeloid, macrophage",moMACinf,Tissue  expert added,,,,TRUE,"General - Endothelial cells,General - Macrophages,Pancreas - Ductal cells",TRUE,
HBEGF,ENSG00000113070,"immune myeloid, macrophage",moMACinf,Tissue  expert added,,,,FALSE,NA,FALSE,
CDK15,ENSG00000138395,"immune myeloid, mast",Mast,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
CPA3,ENSG00000163751,"immune myeloid, mast","mast cell, platelet",TOP 5 (CZI) List,,,,TRUE,General - Granulocytes,TRUE,
HDC,ENSG00000140287,"immune myeloid, mast",mast cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
IL18R1,ENSG00000115604,"immune myeloid, mast",Mast,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
MS4A2,ENSG00000149534,"immune myeloid, mast",mast cell,TOP 5 (CZI) List,,,,TRUE,General - Granulocytes,FALSE,
NTM,ENSG00000182667,"immune myeloid, mast",Mast,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
TPSAB1,ENSG00000172236,"immune myeloid, mast","mast cell,platelet",TOP 5 (CZI) List; MxIF Proteins,,,,FALSE,NA,FALSE,
TPSB2,ENSG00000197253,"immune myeloid, mast",mast cell,TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
CLEC1B,ENSG00000165682,"immune myeloid, megakaryocyte,platelet",platelet,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
GATA1,ENSG00000102145,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
GP9,ENSG00000169704,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ITGA2B,ENSG00000005961,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MPIG6B,ENSG00000204420,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TREML1,ENSG00000161911,"immune myeloid, megakaryocyte,platelet",platelet,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TUBB1,ENSG00000101162,"immune myeloid, megakaryocyte,platelet","megakaryocyte,platelet",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ADGRE2,ENSG00000127507,"immune, myeloid",non classical monocyte,Tissue  expert added,,,,FALSE,NA,FALSE,
C1QB,ENSG00000173369,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
C1QC,ENSG00000159189,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CCL2,ENSG00000108691,"immune, myeloid","monocytes, macrophages, dendritic cells, induced wtih stress in multiple (epithelial, endothelial, stromal)",MxIF Proteins,,,MCP1,FALSE,NA,TRUE,
CD163,ENSG00000177575,"immune, myeloid",macrophage,TOP 5 (CZI) List; MxIF Proteins,,,,TRUE,"General - Macrophages,Liver - Kupffer cells,Skin - Langerhans cells",TRUE,
CD300E,ENSG00000186407,"immune, myeloid","classical monocyte,non-classical monocyte",TOP 5 (CZI) List,,,,TRUE,"General - Macrophages,Liver - Kupffer cells",FALSE,
CD68,ENSG00000129226,"immune, myeloid",macrophages (subset),MxIF Proteins,,,,TRUE,"General - Macrophages,Liver - Kupffer cells,Skin - Langerhans cells",TRUE,
CD79B,ENSG00000007312,"immune, myeloid",non classical monocyte,Tissue  expert added,,,,FALSE,NA,FALSE,
CEACAM8,ENSG00000124469,"immune, myeloid",neutrophils,MxIF Proteins,,,CD66B,FALSE,NA,FALSE,
CXCR2,ENSG00000180871,"immune, myeloid","conventional dendritic cell, cDC1",Tissue  expert added,,,,FALSE,NA,FALSE,
FCGR3B,ENSG00000162747,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
FCN1,ENSG00000085265,"immune, myeloid","classical monocyte,non-classical monocyte",TOP 5 (CZI) List,,,,TRUE,"General - Macrophages,Liver - Kupffer cells",TRUE,
IGSF21,ENSG00000117154,"immune, myeloid",macrophage,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
KCND3,ENSG00000171385,"immune, myeloid","conventional dendritic cell, cDC1",Tissue  expert added,,,,FALSE,NA,FALSE,
KCNK13,ENSG00000152315,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
LAMP3,ENSG00000078081,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,TRUE,"General - Monocytes,Lung - Alveolar cells type 2",TRUE,
LILRA1,ENSG00000104974,"immune, myeloid",non-classical monocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
LILRA2,ENSG00000239998,"immune, myeloid",non-classical monocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
LILRA5,ENSG00000187116,"immune, myeloid","classical monocyte,non-classical monocyte",TOP 5 (CZI) List,,,,TRUE,"General - Macrophages,Liver - Kupffer cells",FALSE,
LILRB5,ENSG00000105609,"immune, myeloid",macrophage,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
MMP9,ENSG00000100985,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MPO,ENSG00000005381,"immune, myeloid","neutrophils, monocytes, some neurons",MxIF Proteins,,,,FALSE,NA,FALSE,
MRC1,ENSG00000260314,"immune, myeloid","macrophage, immature DC, neural?",MxIF Proteins,,,CD206,TRUE,"Breast - Breast glandular cells,General - Endothelial cells,General - Macrophages,Liver - Hepatic stellate cells,Liver - Kupffer cells",TRUE,
MS4A4A,ENSG00000110079,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,TRUE,"General - Macrophages,Liver - Kupffer cells,Skin - Langerhans cells",FALSE,
MS4A7,ENSG00000166927,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
OLR1,ENSG00000173391,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
PADI2,ENSG00000117115,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
PADI4,ENSG00000159339,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PGLYRP1,ENSG00000008438,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PLEK,ENSG00000115956,"immune, myeloid",macrophage,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
PROK2,ENSG00000163421,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
RNASE2,ENSG00000169385,"immune, myeloid",classical monocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
S100A12,ENSG00000163221,"immune, myeloid","classical monocyte,neutrophil",TOP 5 (CZI) List,,,,TRUE,"General - Macrophages,Liver - Kupffer cells",FALSE,
S100A8,ENSG00000143546,"immune, myeloid",neutrophil,Tissue  expert added,,,,FALSE,NA,TRUE,Too highly expressed
SIGLEC1,ENSG00000088827,"immune, myeloid","macrophage, some DC",MxIF Proteins,,,CD169,FALSE,NA,FALSE,
SLC6A12,ENSG00000111181,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SLC9A7,ENSG00000065923,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SMIM25,ENSG00000224397,"immune, myeloid",non classical monocyte,Tissue  expert added,,PELATON,,FALSE,NA,FALSE,
SNED1,ENSG00000162804,"immune, myeloid",non classical monocyte,Tissue  expert added,,,,FALSE,NA,FALSE,
STARD13,ENSG00000133121,"immune, myeloid",macrophage,Tissue  expert added,,,,FALSE,NA,FALSE,
TVP23A,ENSG00000166676,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ZNF804A,ENSG00000170396,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,FALSE,NA,FALSE,
GNLY,ENSG00000115523,"immune, NK",NK cell,TOP 5 (CZI) List,,,,TRUE,"Breast - Dendritic cells,General - NK cells,General - T cells",TRUE,
GZMB,ENSG00000100453,"immune, NK",NK cell,TOP 5 (CZI) List; MxIF Proteins,,,,TRUE,"Breast - Dendritic cells,General - T cells",FALSE,
KLRD1,ENSG00000134539,"immune, NK","NK cell,gamma-delta T cell",TOP 5 (CZI) List,,,,TRUE,"Breast - Dendritic cells,General - T cells",TRUE,
KLRF1,ENSG00000150045,"immune, NK",NK cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NCAM1,ENSG00000149294,"immune, NK","NK, some T cells",MxIF Proteins,,,,FALSE,NA,FALSE,
NCR2,ENSG00000096264,"immune, NK",activated NK cells,MxIF Proteins,,,,FALSE,NA,FALSE,
PRF1,ENSG00000180644,"immune, NK","NK cell,gamma-delta T cell",TOP 5 (CZI) List,,,,TRUE,"Breast - Dendritic cells,General - T cells",FALSE,
NFKB1,ENSG00000109320,inflammation,multiple,Tissue  expert added,,,NFKB p50,FALSE,NA,FALSE,
RELA,ENSG00000173039,inflammation,multiple,Tissue  expert added,,,NFKB family member p65,FALSE,NA,FALSE,
SPP1,ENSG00000118785,injury,multiple,Tissue  expert added,,,,FALSE,NA,TRUE,
MFAP4,ENSG00000166482,mesenchymal stem cell,mesenchymal stem cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
OGN,ENSG00000106809,mesenchymal stem cell,mesenchymal stem cell,TOP 5 (CZI) List,,,,TRUE,General - Fibroblasts,FALSE,
MT-ATP8,ENSG00000228253,mitochondrial,mitochondrial,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
CA12,ENSG00000074410,multiple,epithelial and others,Tissue  expert added,IVD,,,FALSE,NA,FALSE,
CLDN11,ENSG00000013297,multiple,tight junctions,MxIF Proteins,,,,FALSE,NA,FALSE,
CYTL1,ENSG00000170891,multiple,"some CD34+ cells, chondrocytes, endothelial",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
GATA2,ENSG00000179348,multiple,"progenitor, endothelial, other",MxIF Proteins,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,General - Granulocytes,Kidney - Collecting duct cells",FALSE,
LTF,ENSG00000012223,multiple,"neutrophils, monocytes, B cells, ",MxIF Proteins,,,,FALSE,NA,FALSE,
MMP13,ENSG00000137745,multiple,"chondrocytes, epithelial, neuronal, cancer",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
NT5E,ENSG00000135318,multiple,increase with hypoxia and stress?,MxIF Proteins,,,,FALSE,NA,FALSE,
SOX2,ENSG00000181449,multiple,"hair follicle, airway epitheium, neurons",Potential Rescue,,,,TRUE,Lung - respiratory ciliated cells,TRUE,
TGFB1,ENSG00000105329,multiple,multiple,Tissue  expert added,IVD,,,FALSE,NA,FALSE,
THY1,ENSG00000154096,multiple,"neurons (predominant), thymocytes, keratinocytes, activated endothelial, smooth muscle, fibroblasts, myofibroblasts, stem cells",MxIF Proteins,,,,TRUE,"General - Fibroblasts,General - Smooth muscle cells,Kidney - Proximal tubular cells",FALSE,
VIM,ENSG00000026025,multiple,"endothelial, stroma, monocytes, neurons, ",MxIF Proteins,,,,FALSE,NA,TRUE,
SOX9,ENSG00000125398,"multiple, stromal, epithelial","paneth cells, intestinal progenitor, distal airway, condrocytes, glia, neural crest cells, pancreatic progenitor and ducts, melanocytes, cardia cushion, ",Tissue expert added (x3),"IVD, Lung",,,FALSE,NA,FALSE,
HPGD ,ENSG00000164120,multiple? capillary endothelial,"Treg (esp in fat?), lung capillary, other",MxIF Proteins,,,15-PGDH,FALSE,NA,FALSE,
CADM2,ENSG00000175161,neural,Neuronal,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
CDH19,ENSG00000071991,neural,schwann cell,TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
CMTM5,ENSG00000166091,neural,schwann cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
INA,ENSG00000148798,neural,ganglion cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NRSN1,ENSG00000152954,neural,"ganglion cell,motor neuron",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
NRXN3,ENSG00000021645,neural,Neuronal,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
PHOX2A,ENSG00000165462,neural,"ganglion cell,motor neuron,sensory neuron",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PIEZO2,ENSG00000154864,neural,"sensory neurons, merkel cells, lung and bladder",MxIF Proteins,,,,FALSE,NA,TRUE,
PLP1,ENSG00000123560,neural,schwann cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
PMP2,ENSG00000147588,neural,schwann cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SCG2,ENSG00000171951,neural,"motor neuron,sensory neuron",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SCG3,ENSG00000104112,neural,motor neuron,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SOX10,ENSG00000100146,neural,"Schwann cell,myoepithelial cell,serous cell",TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
STMN4,ENSG00000015592,neural,"ganglion cell,motor neuron,sensory neuron",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TH,ENSG00000180176,neural,sympathetic \ dopaminergic neurons,Tissue  expert added,,,,FALSE,NA,TRUE,
TLX2,ENSG00000115297,neural,sensory neuron,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TRPV1,ENSG00000196689,neural,sensory,Tissue  expert added,,,,FALSE,NA,FALSE,
TTC9B,ENSG00000174521,neural,"ganglion cell,sensory neuron",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TUBB3,ENSG00000258947,neural,"neurons, ?endothelium, ?fibroblasts",MxIF Proteins; Tissue expert added,Lung,,,FALSE,NA,FALSE,
GRIA1,ENSG00000155511,"neural CNS, stromal","CNS, fibroblast",MxIF Proteins,,,,FALSE,NA,FALSE,
GRP,ENSG00000134443,neural crest derived,"dorsal horn interneurons, neuroendocrine cells of lung (other organs?)",MxIF Proteins,,,,FALSE,NA,FALSE,
