Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
ICAM1,ENSG00000090339,endothelial,endothelial and other,MxIF Proteins,,, CD54,FALSE,NA,FALSE,
MEOX1,ENSG00000005102,endothelial,"highest endothelial cells, also fibroblasts, smooth muscle",MxIF Proteins,,check specificity?,,FALSE,NA,FALSE,
NRG3,ENSG00000185737,endothelial,Endocardial Endothelial,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
PCDH15,ENSG00000150275,endothelial,Endocardial Endothelial,Tissue  expert added,HRT,,,FALSE,NA,FALSE,
PDPN,ENSG00000162493,endothelial,"endothelial, lymphatics, stromal of LN, podocytes, osteocytes, type 1 pneumocytes",MxIF Proteins,,,,TRUE,"General - Endothelial cells,General - Fibroblasts,General - Monocytes,Lung - Alveolar cells type 1",FALSE,
PECAM1,ENSG00000261371,endothelial,"endothelial cells most strongly, also some immune, some plts, ",MxIF Proteins,,,CD31 is PECAM1,TRUE,"General - Endothelial cells,General - Macrophages",TRUE,Highly expressed
ROBO4,ENSG00000154133,endothelial,endothelial tip cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SOX17,ENSG00000164736,endothelial,"endothelial cell of artery,endothelial tip cell",TOP 5 (CZI) List,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells",FALSE,
VEGFA,ENSG00000112715,endothelial,"endothelial cells, cardiac myofibroblasts, macrophages, schwann cells, activated chondrocytes",MxIF Proteins,,,,FALSE,NA,FALSE,
MMRN2,ENSG00000173269,"endothelial, artery",endothelial cell of artery,TOP 5 (CZI) List,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",FALSE,
SOX18,ENSG00000203883,"endothelial, artery",endothelial cell of artery,TOP 5 (CZI) List,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",FALSE,
ADGRF5,ENSG00000069122,"endothelial, capillary",capillary endothelial cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
CLDN5,ENSG00000184113,"endothelial, capillary",capillary endothelial cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ART4,ENSG00000111339,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
CCL21,ENSG00000137077,"endothelial, lymphatic",endothelial cell of lymphatic vessel,"TOP 5 (CZI) List, MxIF protein",,,,FALSE,NA,FALSE,
ECSCR,ENSG00000249751,"endothelial, lymphatic","endothelial cell of lymphatic vessel,endothelial tip cell",TOP 5 (CZI) List,,,,TRUE,General - Endothelial cells,FALSE,
FABP4,ENSG00000170323,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
LYVE1,ENSG00000133800,"endothelial, lymphatic",lymphatic endothelial cells. some macrophages,MxIF Proteins,,,,TRUE,"General - Endothelial cells,Liver - Hepatic stellate cells,Liver - Kupffer cells",FALSE,
MMRN1,ENSG00000138722,"endothelial, lymphatic",endothelial cell of lymphatic vessel,TOP 5 (CZI) List; MxIF Proteins,,,,TRUE,"General - Endothelial cells,Liver - Hepatic stellate cells",TRUE,
POF1B,ENSG00000124429,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
PROX1,ENSG00000117707,"endothelial, lymphatic","""defining marker for LECs"", also in hepatocytes, slow muscle fibers, etc - multiple?; embryonic sympathic neurons, pancreas, liver, heart, intesetinal (lung>) enteroendocrine and neurondocrine cells, cytoplasm of megakaryoctyes and platelets",MxIF Proteins,,,,TRUE,"Colon - Enteroendocrine cells,General - Endothelial cells,Heart - Cardiomyocytes,Liver - Cholangiocytes,Liver - Hepatocytes",FALSE,
SCN3A,ENSG00000153253,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
THBD,ENSG00000178726,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
TM4SF18,ENSG00000163762,"endothelial, lymphatic","endothelial cell of lymphatic vessel,endothelial tip cell",TOP 5 (CZI) List,,,,TRUE,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",FALSE,
TSPEAR,ENSG00000175894,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
CADM3-AS1,ENSG00000225670,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
CPLX1,ENSG00000168993,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
DCC,ENSG00000187323,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
ELOVL7,ENSG00000164181,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
FMO2,ENSG00000094963,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
LINC02360,ENSG00000248300,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
RXFP1,ENSG00000171509,"endothelial, vascular",vascular endothelium,Tissue  expert added,Ovary,,,FALSE,NA,FALSE,
SPC25,ENSG00000152253,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
