gene_label,gene
A1BG,http://identifiers.org/hgnc/5
A1CF,http://identifiers.org/hgnc/24086
A1CF,https://purl.org/ccf/ASCTB-TEMP_a1cf
A2M,http://identifiers.org/hgnc/7
A2M,https://purl.org/ccf/ASCTB-TEMP_a2m
A2M-AS1,http://identifiers.org/hgnc/27057
A2M-AS1,https://purl.org/ccf/ASCTB-TEMP_a2m-as1
A2MP1,http://identifiers.org/hgnc/8
A2MP1,https://purl.org/ccf/ASCTB-TEMP_a2mp1
A4GALT,http://identifiers.org/hgnc/18149
A4GALT,https://purl.org/ccf/ASCTB-TEMP_a4galt
AAAS,http://identifiers.org/hgnc/13666
AAAS,https://purl.org/ccf/ASCTB-TEMP_aaas
AACS,http://identifiers.org/hgnc/21298
AACS,https://purl.org/ccf/ASCTB-TEMP_aacs
AADAC,http://identifiers.org/hgnc/17
AADAC,https://purl.org/ccf/ASCTB-TEMP_aadac
AADACL2,https://purl.org/ccf/ASCTB-TEMP_aadacl2
AAGAB,http://identifiers.org/hgnc/25662
AAK1,http://identifiers.org/hgnc/19679
AAMDC,http://identifiers.org/hgnc/30205
AAMP,http://identifiers.org/hgnc/18
AAMP,https://purl.org/ccf/ASCTB-TEMP_aamp
AANAT,https://purl.org/ccf/ASCTB-TEMP_aanat
AAR2,http://identifiers.org/hgnc/15886
AAR2,https://purl.org/ccf/ASCTB-TEMP_aar2
AARD,http://identifiers.org/hgnc/33842
AARD,https://purl.org/ccf/ASCTB-TEMP_aard
AARS1,http://identifiers.org/hgnc/20
AARSD1,http://identifiers.org/hgnc/28417
AASDH,http://identifiers.org/hgnc/23993
AASDH,https://purl.org/ccf/ASCTB-TEMP_aasdh
AASDHPPT,http://identifiers.org/hgnc/14235
AASS,http://identifiers.org/hgnc/17366
AASS,https://purl.org/ccf/ASCTB-TEMP_aass
AATBC,http://identifiers.org/hgnc/51526
AATF,http://identifiers.org/hgnc/19235
AATF,https://purl.org/ccf/ASCTB-TEMP_aatf
AATK,http://identifiers.org/hgnc/21
AATK,https://purl.org/ccf/ASCTB-TEMP_aatk
ABAT,http://identifiers.org/hgnc/23
ABCA1,http://identifiers.org/hgnc/29
ABCA1,https://purl.org/ccf/ASCTB-TEMP_abca1
ABCA10,http://identifiers.org/hgnc/30
ABCA12,http://identifiers.org/hgnc/14637
ABCA13,http://identifiers.org/hgnc/14638
ABCA13,https://purl.org/ccf/ASCTB-TEMP_abca13
ABCA2,http://identifiers.org/hgnc/32
ABCA3,http://identifiers.org/hgnc/33
ABCA3,https://purl.org/ccf/ASCTB-TEMP_abca3
ABCA4,http://identifiers.org/hgnc/34
ABCA4,https://purl.org/ccf/ASCTB-TEMP_abca4
ABCA5,http://identifiers.org/hgnc/35
ABCA5,https://purl.org/ccf/ASCTB-TEMP_abca5
ABCA6,http://identifiers.org/hgnc/36
ABCA6,https://purl.org/ccf/ASCTB-TEMP_abca6
ABCA7,http://identifiers.org/hgnc/37
ABCA7,https://purl.org/ccf/ASCTB-TEMP_abca7
ABCA8,http://identifiers.org/hgnc/38
ABCA8,https://purl.org/ccf/ASCTB-TEMP_abca8
ABCA9-AS1,http://identifiers.org/hgnc/39983
ABCB1,http://identifiers.org/hgnc/40
ABCB1,https://purl.org/ccf/ASCTB-TEMP_abcb1
ABCB10,http://identifiers.org/hgnc/41
ABCB11,http://identifiers.org/hgnc/42
ABCB11,https://purl.org/ccf/ASCTB-TEMP_abcb11
ABCB4,http://identifiers.org/hgnc/45
ABCB4,https://purl.org/ccf/ASCTB-TEMP_abcb4
ABCB5,https://purl.org/ccf/ASCTB-TEMP_abcb5
ABCB7,http://identifiers.org/hgnc/48
ABCB7,https://purl.org/ccf/ASCTB-TEMP_abcb7
ABCB8,http://identifiers.org/hgnc/49
ABCB9,http://identifiers.org/hgnc/50
ABCB9,https://purl.org/ccf/ASCTB-TEMP_abcb9
ABCC1,http://identifiers.org/hgnc/51
ABCC10,https://purl.org/ccf/ASCTB-TEMP_abcc10
ABCC11,http://identifiers.org/hgnc/14639
ABCC13,http://identifiers.org/hgnc/16022
ABCC13,https://purl.org/ccf/ASCTB-TEMP_abcc13
ABCC2,http://identifiers.org/hgnc/53
ABCC2,https://purl.org/ccf/ASCTB-TEMP_abcc2
ABCC3,http://identifiers.org/hgnc/54
ABCC3,https://purl.org/ccf/ASCTB-TEMP_abcc3
ABCC4,http://identifiers.org/hgnc/55
ABCC4,https://purl.org/ccf/ASCTB-TEMP_abcc4
ABCC5,http://identifiers.org/hgnc/56
ABCC5,https://purl.org/ccf/ASCTB-TEMP_abcc5
ABCC6,http://identifiers.org/hgnc/57
