gene_label,gene
ABCA5,http://identifiers.org/hgnc/35
ACSM2A,http://identifiers.org/hgnc/32017
ACSM2B,http://identifiers.org/hgnc/30931
ADH1B,http://identifiers.org/hgnc/250
ADIRF,http://identifiers.org/hgnc/24043
AFF3,http://identifiers.org/hgnc/6473
ALDH1A2,http://identifiers.org/hgnc/15472
ALS2CL,http://identifiers.org/hgnc/20605
ANKRD44,http://identifiers.org/hgnc/25259
ANPEP,http://identifiers.org/hgnc/500
AOAH,http://identifiers.org/hgnc/548
APCDD1L-DT,http://identifiers.org/hgnc/27152
AQP2,http://identifiers.org/hgnc/634
AQP3,http://identifiers.org/hgnc/636
ARHGAP15,http://identifiers.org/hgnc/21030
ARHGAP18,http://identifiers.org/hgnc/21035
ARHGAP24,http://identifiers.org/hgnc/25361
ARHGAP26,http://identifiers.org/hgnc/17073
ARL15,http://identifiers.org/hgnc/25945
ASAP1,http://identifiers.org/hgnc/2720
ATP1B1,http://identifiers.org/hgnc/804
ATP6V0A4,http://identifiers.org/hgnc/866
ATP6V0D2,http://identifiers.org/hgnc/18266
ATP6V1C2,http://identifiers.org/hgnc/18264
B2M,http://identifiers.org/hgnc/914
BARX2,http://identifiers.org/hgnc/956
BCL11B,http://identifiers.org/hgnc/13222
BICD1,http://identifiers.org/hgnc/1049
BMP2K,http://identifiers.org/hgnc/18041
BMPR1B,http://identifiers.org/hgnc/1077
BTG2,http://identifiers.org/hgnc/1131
C7,http://identifiers.org/hgnc/1346
CACNA1C,http://identifiers.org/hgnc/1390
CACNA2D3,http://identifiers.org/hgnc/15460
CACNB4,http://identifiers.org/hgnc/1404
CALB1,http://identifiers.org/hgnc/1434
CALD1,http://identifiers.org/hgnc/1441
CAMK1D,http://identifiers.org/hgnc/19341
CASR,http://identifiers.org/hgnc/1514
CCND3,http://identifiers.org/hgnc/1585
CCSER1,http://identifiers.org/hgnc/29349
CD247,http://identifiers.org/hgnc/1677
CDH11,http://identifiers.org/hgnc/1750
CELF2,http://identifiers.org/hgnc/2550
CFH,http://identifiers.org/hgnc/4883
CHST11,http://identifiers.org/hgnc/17422
CLIC5,http://identifiers.org/hgnc/13517
CLNK,http://identifiers.org/hgnc/17438
CLU,http://identifiers.org/hgnc/2095
COBLL1,http://identifiers.org/hgnc/23571
COL1A2,http://identifiers.org/hgnc/2198
COTL1,http://identifiers.org/hgnc/18304
CREB3L2,http://identifiers.org/hgnc/23720
CSF3R,http://identifiers.org/hgnc/2439
CTSS,http://identifiers.org/hgnc/2545
CTTNBP2,http://identifiers.org/hgnc/15679
CUBN,http://identifiers.org/hgnc/2548
DACH1,http://identifiers.org/hgnc/2663
DENND5B,http://identifiers.org/hgnc/28338
DHRS2,http://identifiers.org/hgnc/18349
DLC1,http://identifiers.org/hgnc/2897
DOCK2,http://identifiers.org/hgnc/2988
DOCK4,http://identifiers.org/hgnc/19192
DPY19L2,http://identifiers.org/hgnc/19414
DPYD,http://identifiers.org/hgnc/3012
EBF1,http://identifiers.org/hgnc/3126
EGF,http://identifiers.org/hgnc/3229
ELF3,http://identifiers.org/hgnc/3318
ELF5,http://identifiers.org/hgnc/3320
ELMO1,http://identifiers.org/hgnc/16286
EMCN,http://identifiers.org/hgnc/16041
EMX1,http://identifiers.org/hgnc/3340
ENTREP2,http://identifiers.org/hgnc/29075
ERBB4,http://identifiers.org/hgnc/3432
ESRRG,http://identifiers.org/hgnc/3474
ETS1,http://identifiers.org/hgnc/3488
EYA4,http://identifiers.org/hgnc/3522
F13A1,http://identifiers.org/hgnc/3531
FBLN1,http://identifiers.org/hgnc/3600
FBLN5,http://identifiers.org/hgnc/3602
FBXL7,http://identifiers.org/hgnc/13604
FBXW7,http://identifiers.org/hgnc/16712
FCHSD2,http://identifiers.org/hgnc/29114
FHIT,http://identifiers.org/hgnc/3701
FLNA,http://identifiers.org/hgnc/3754
FNDC3A,http://identifiers.org/hgnc/20296
FNDC3B,http://identifiers.org/hgnc/24670
FOXN3,http://identifiers.org/hgnc/1928
FRMD4A,http://identifiers.org/hgnc/25491
FRMD4B,http://identifiers.org/hgnc/24886
FTX,http://identifiers.org/hgnc/37190
FUT8,http://identifiers.org/hgnc/4019
FXYD4,http://identifiers.org/hgnc/4028
FYB1,http://identifiers.org/hgnc/4036
FYB2,http://identifiers.org/hgnc/27295
FYN,http://identifiers.org/hgnc/4037
GATA3,http://identifiers.org/hgnc/4172
GLCCI1,http://identifiers.org/hgnc/18713
GNG7,http://identifiers.org/hgnc/4410
GPX3,http://identifiers.org/hgnc/4555
GRAP2,http://identifiers.org/hgnc/4563
HCK,http://identifiers.org/hgnc/4840
HIP1,http://identifiers.org/hgnc/4913
HPGDS,http://identifiers.org/hgnc/17890
HSD11B2,http://identifiers.org/hgnc/5209
IFITM2,http://identifiers.org/hgnc/5413
IGHG3,http://identifiers.org/hgnc/5527
IGKC,http://identifiers.org/hgnc/5716
IKZF1,http://identifiers.org/hgnc/13176
IL7R,http://identifiers.org/hgnc/6024
IMMP2L,http://identifiers.org/hgnc/14598
INPP5D,http://identifiers.org/hgnc/6079
