AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,AT1,AT1,CL:0002062
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,AT1,AT1,CL:0002062
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,AT2,AT2,CL:0002063
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,AT2,AT2,CL:0002063
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,AT2 proliferating,AT2 proliferating,CL:0002063
cell,cell,CL:0000000,muscle cell,muscle cell,CL:0000187,,,,AVN_P_cell,AVN_P_cell,CL:0002072
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,Afferent / Efferent Arteriole Endothelial,Afferent / Efferent Arteriole Endothelial,CL:1000412
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,Arterial Endothelial,Arterial Endothelial,CL:1000413
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Ascending Thin Limb,Ascending Thin Limb,CL:1001107
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,Ascending Vasa Recta Endothelial,Ascending Vasa Recta Endothelial,CL:1001131
cell,cell,CL:0000000,muscle cell,muscle cell,CL:0000187,,,,Atrial Cardiomyocyte,Atrial Cardiomyocyte,CL:0002129
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,,,,B_plasma,B_plasma,CL:0000786
cell,cell,CL:0000000,stem cell,stem cell,CL:0000034,,,,Basal resting,Basal resting,CL:0002633
cell,cell,CL:0000000,stem cell,stem cell,CL:0000034,,,,Basal resting,Basal resting,CL:0002633
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,Capillary Endothelial,Capillary Endothelial,CL:0002144
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Cholangiocytes,Cholangiocytes,CL:1000488
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Club (nasal),Club (nasal),CL:0000158
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Club (nasal),Club (nasal),CL:0000158
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Club (non-nasal),Club (non-nasal),CL:0000158
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Club (non-nasal),Club (non-nasal),CL:0000158
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Connecting Tubule,Connecting Tubule,CL:1000768
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Connecting Tubule Intercalated Type A,Connecting Tubule Intercalated Type A,CL:4030020
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Connecting Tubule Principal,Connecting Tubule Principal,CL:4030018
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Cortical Collecting Duct Intercalated Type A,Cortical Collecting Duct Intercalated Type A,CL:1000715
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Cortical Collecting Duct Principal,Cortical Collecting Duct Principal,CL:1000714
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Cortical Thick Ascending Limb,Cortical Thick Ascending Limb,CL:1001109
cell,cell,CL:0000000,hematopoietic cell,hematopoietic cell,CL:0000988,,,,Cycling Mononuclear Phagocyte,Cycling Mononuclear Phagocyte,CL:0000113
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Descending Thin Limb Type 1,Descending Thin Limb Type 1,CL:4030012
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Descending Thin Limb Type 2,Descending Thin Limb Type 2,CL:4030013
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Descending Thin Limb Type 3,Descending Thin Limb Type 3,CL:4030014
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Deuterosomal,Deuterosomal,CL:4033044
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Deuterosomal,Deuterosomal,CL:4033044
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Distal Convoluted Tubule Type 1,Distal Convoluted Tubule Type 1,CL:4030016
cell,cell,CL:0000000,epithelial cell,epithelial cell,CL:0000066,,,,Distal Convoluted Tubule Type 2,Distal Convoluted Tubule Type 2,CL:4030017
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC aerocyte capillary,EC aerocyte capillary,CL:4028003
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC aerocyte capillary,EC aerocyte capillary,CL:4028003
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC arterial,EC arterial,CL:1000413
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC arterial,EC arterial,CL:1001568
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC general capillary,EC general capillary,CL:4028002
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC general capillary,EC general capillary,CL:0002144
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC venous pulmonary,EC venous pulmonary,CL:1000414
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC venous pulmonary,EC venous pulmonary,CL:4033008
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC venous systemic,EC venous systemic,CL:1000414
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC venous systemic,EC venous systemic,CL:4033008
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC10_CMC-like,EC10_CMC-like,CL:0000115
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC1_cap,EC1_cap,CL:0002144
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC2_cap,EC2_cap,CL:0002144
cell,cell,CL:0000000,endothelial cell,endothelial cell,CL:0000115,,,,EC4_immune,EC4_immune,CL:0000115
