organ,source,target,sum_extraction_sites_number
3d-vh-m-kidney-r,VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_c,7
3d-vh-m-kidney-r,VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_b,7
3d-vh-f-kidney-l,VH_F_outer_cortex_of_kidney_L,VH_F_renal_pyramid_L_i,6
3d-vh-m-spleen,VH_M_hilum_of_spleen,VH_M_renal_surface_of_spleen,6
3d-vh-m-spleen,VH_M_diaphragmatic_surface_of_spleen,VH_M_hilum_of_spleen,6
3d-vh-f-kidney-l,VH_F_hilum_of_kidney_L,VH_F_outer_cortex_of_kidney_L,6
3d-vh-f-kidney-l,VH_F_outer_cortex_of_kidney_L,VH_F_renal_pyramid_L_d,6
3d-vh-f-kidney-l,VH_F_outer_cortex_of_kidney_L,VH_F_renal_pyramid_L_c,6
3d-vh-f-kidney-l,VH_F_outer_cortex_of_kidney_L,VH_F_renal_pyramid_L_e,6
3d-vh-f-kidney-l,VH_F_outer_cortex_of_kidney_L,VH_F_renal_pyramid_L_k,6
3d-vh-f-kidney-l,VH_F_outer_cortex_of_kidney_L,VH_F_renal_pyramid_L_g,6
3d-vh-f-kidney-l,VH_F_kidney_capsule_L,VH_F_outer_cortex_of_kidney_L,6
3d-vh-m-small-intestine,VH_M_ileum,VH_M_jejunum,6
3d-vh-f-small-intestine,VH_F_duodenum_ascending,VH_F_jejenum,6
3d-vh-m-small-intestine,VH_M_duodenum_descending,VH_M_duodenum_superior,6
3d-vh-m-small-intestine,VH_M_duodenum_ascending,VH_M_duodenum_horizonal,6
3d-vh-m-small-intestine,VH_M_duodenum_descending,VH_M_papilla_of_santorini,6
3d-vh-m-small-intestine,VH_M_duodenum_descending,VH_M_sphincter_of_hepatopancreatic_ampulla,6
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_right_cardiac_atrium,6
3d-vh-m-small-intestine,VH_M_ileum,VH_M_ileum_terminal,6
3d-vh-f-small-intestine,VH_F_ileum,VH_F_jejenum,6
3d-vh-f-small-intestine,VH_F_duodenum_descending,VH_F_duodenum_horizontal,6
3d-sbu-f-large-intestine,VH_F_descending_colon,VH_F_sigmoid_colon,6
3d-sbu-m-large-intestine,VH_M_rectum,VH_M_sigmoid_colon,6
3d-vh-m-spleen,VH_M_colic_surface_of_spleen,VH_M_hilum_of_spleen,5
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_h,5
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_column_R,5
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_a,5
3d-sbu-f-large-intestine,VH_F_descending_colon,VH_F_transverse_colon,5
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_i,5
3d-vh-f-kidney-r,VH_F_outer_cortex_of_kidney_R,VH_F_renal_pyramid_R_f,5
3d-vh-m-spleen,VH_M_colic_surface_of_spleen,VH_M_diaphragmatic_surface_of_spleen,5
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_b,5
3d-vh-m-spleen,VH_M_diaphragmatic_surface_of_spleen,VH_M_gastric_surface_of_spleen,5
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_a,5
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_a,5
3d-sbu-m-large-intestine,VH_M_splenic_flexure_of_colon,VH_M_transverse_colon,5
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_f,5
3d-sbu-m-large-intestine,VH_M_hepatic_flexure_of_colon,VH_M_transverse_colon,5
3d-vh-m-spleen,VH_M_gastric_surface_of_spleen,VH_M_hilum_of_spleen,5
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_g,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_papilla_L_b,4
3d-sbu-f-large-intestine,VH_F_ascending_colon,VH_F_transverse_colon,4
3d-vh-m-ureter-l,VH_M_renal_pelvis_L,VH_M_ureter_L,4
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_lateral_bronchus,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_e,4
3d-vh-m-heart,VH_M_heart_right_ventricle,VH_M_tricuspid_valve,4
3d-vh-f-kidney-l,VH_F_renal_column_L,VH_F_renal_pyramid_L_k,4
