gene_label,hgnc,source
A2M,http://identifiers.org/hgnc/7,hra
ABC10-43608400O15.1,https://purl.org/ccf/ASCTB-TEMP_abc10-43608400o15-1,hra
ABCA1,http://identifiers.org/hgnc/29,hra
ABCA13,http://identifiers.org/hgnc/14638,hra
ABCA3,http://identifiers.org/hgnc/33,hra
ABCA4,http://identifiers.org/hgnc/34,hra
ABCA8,http://identifiers.org/hgnc/38,hra
ABCB11,http://identifiers.org/hgnc/42,hra
ABCG2,http://identifiers.org/hgnc/74,hra
ABCG2,https://purl.org/ccf/ASCTB-TEMP_abcg2,hra
ABI3BP,http://identifiers.org/hgnc/17265,hra
ABLIM1,http://identifiers.org/hgnc/78,hra
AC002066.1,https://purl.org/ccf/ASCTB-TEMP_ac002066-1,hra
AC003099.2,https://purl.org/ccf/ASCTB-TEMP_ac003099-2,hra
AC004538.3,https://purl.org/ccf/ASCTB-TEMP_ac004538-3,hra
AC004862.6,https://purl.org/ccf/ASCTB-TEMP_ac004862-6,hra
AC005150.1,https://purl.org/ccf/ASCTB-TEMP_ac005150-1,hra
AC007682.1,https://purl.org/ccf/ASCTB-TEMP_ac007682-1,hra
AC010091.1,https://purl.org/ccf/ASCTB-TEMP_ac010091-1,hra
AC011288.2,https://purl.org/ccf/ASCTB-TEMP_ac011288-2,hra
AC018717.1,https://purl.org/ccf/ASCTB-TEMP_ac018717-1,hra
AC064875.2,https://purl.org/ccf/ASCTB-TEMP_ac064875-2,hra
AC067959.1,https://purl.org/ccf/ASCTB-TEMP_ac067959-1,hra
AC079135.1,https://purl.org/ccf/ASCTB-TEMP_ac079135-1,hra
AC084149.2,https://purl.org/ccf/ASCTB-TEMP_ac084149-2,hra
AC092684.1,https://purl.org/ccf/ASCTB-TEMP_ac092684-1,hra
AC114765.1,https://purl.org/ccf/ASCTB-TEMP_ac114765-1,hra
AC133680.1,https://purl.org/ccf/ASCTB-TEMP_ac133680-1,hra
ACKR4,http://identifiers.org/hgnc/1611,hra
ACP3,http://identifiers.org/hgnc/125,hra
ACSM2A,http://identifiers.org/hgnc/32017,hra
ACTA1,http://identifiers.org/hgnc/129,hra
ACTA2-AS1,http://identifiers.org/hgnc/45169,hra
ACTG1,http://identifiers.org/hgnc/144,hra
ACTN1,http://identifiers.org/hgnc/163,hra
ACVR1C,http://identifiers.org/hgnc/18123,hra
ADA,http://identifiers.org/hgnc/186,hra
ADAM28,http://identifiers.org/hgnc/206,hra
ADAM33,http://identifiers.org/hgnc/15478,hra
ADAMTS12,http://identifiers.org/hgnc/14605,hra
ADAMTS16,http://identifiers.org/hgnc/17108,hra
ADAMTS17,http://identifiers.org/hgnc/17109,hra
ADAMTS20,http://identifiers.org/hgnc/17178,hra
ADAMTS3,http://identifiers.org/hgnc/219,hra
ADAMTS6,http://identifiers.org/hgnc/222,hra
ADAMTS9-AS2,http://identifiers.org/hgnc/42435,hra
ADAMTSL1,http://identifiers.org/hgnc/14632,hra
ADARB2,http://identifiers.org/hgnc/227,hra
ADCY3,http://identifiers.org/hgnc/234,hra
ADD3,http://identifiers.org/hgnc/245,hra
ADD3-AS1,http://identifiers.org/hgnc/48682,hra
ADGRD2,http://identifiers.org/hgnc/18651,hra
ADGRE1,http://identifiers.org/hgnc/3336,hra
ADGRG6,http://identifiers.org/hgnc/13841,hra
ADIPOR1,http://identifiers.org/hgnc/24040,hra
ADRA1A,http://identifiers.org/hgnc/277,hra
ADRA2A,http://identifiers.org/hgnc/281,hra
AE000661.37,https://purl.org/ccf/ASCTB-TEMP_ae000661-37,hra
AGR2,http://identifiers.org/hgnc/328,hra
AHR,http://identifiers.org/hgnc/348,hra
AICDA,http://identifiers.org/hgnc/13203,hra
AIF1,http://identifiers.org/hgnc/352,hra
AIFM2,http://identifiers.org/hgnc/21411,hra
AIRE,http://identifiers.org/hgnc/360,hra
AJ006995.3,https://purl.org/ccf/ASCTB-TEMP_aj006995-3,hra
AJ006998.2,https://purl.org/ccf/ASCTB-TEMP_aj006998-2,hra
