gene_name,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,ensemble,hgnc
BAX,ENSG00000087088,apoptosis,multiple,Tissue  expert added,,,,False,,False,,ENSG00000087088,HGNC:959
CASP3,ENSG00000164305,apoptosis,multiple,Tissue  expert added,,,,False,,False,,ENSG00000164305,HGNC:1504
CASP8,ENSG00000064012,apoptosis,multiple,Tissue  expert added,,,,False,,False,,ENSG00000064012,HGNC:1509
CASP9,ENSG00000132906,apoptosis,multiple,Tissue  expert added,,,,False,,False,,ENSG00000132906,HGNC:1511
BIRC5,ENSG00000089685,"apoptosis, inhibitor","multiple, said to be generally low in adult cells except cancer",Tissue  expert added,IVD,,,False,,False,,ENSG00000089685,HGNC:593
IAPP,ENSG00000121351,endocrine,beta cell,Tissue  expert added,pancreas,,,False,,False,,ENSG00000121351,HGNC:5329
NPTX2,ENSG00000106236,endocrine,beta cell,Tissue  expert added,pancreas,,,False,,False,,ENSG00000106236,HGNC:7953
MEOX1,ENSG00000005102,endothelial,"highest endothelial cells, also fibroblasts, smooth muscle",MxIF Proteins,,check specificity?,,False,,False,,ENSG00000005102,HGNC:7013
NRG3,ENSG00000185737,endothelial,Endocardial Endothelial,Tissue  expert added,HRT Add-on,,,False,,False,,ENSG00000185737,HGNC:7999
ROBO4,ENSG00000154133,endothelial,endothelial tip cell,TOP 5 (CZI) List,,,,False,,False,,ENSG00000154133,HGNC:17985
VEGFA,ENSG00000112715,endothelial,"endothelial cells, cardiac myofibroblasts, macrophages, schwann cells, activated chondrocytes",MxIF Proteins,,,,False,,False,,ENSG00000112715,HGNC:12680
MMRN2,ENSG00000173269,"endothelial, artery",endothelial cell of artery,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",False,,ENSG00000173269,HGNC:19888
SOX18,ENSG00000203883,"endothelial, artery",endothelial cell of artery,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",False,,ENSG00000203883,HGNC:11194
