gene_name,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,hgnc
BAX,ENSG00000087088,apoptosis,multiple,Tissue  expert added,,,,False,,False,,HGNC:959
BID,ENSG00000015475,apoptosis,multiple,Tissue  expert added,,,,False,,False,,HGNC:1050
CASP3,ENSG00000164305,apoptosis,multiple,Tissue  expert added,,,,False,,False,,HGNC:1504
CASP8,ENSG00000064012,apoptosis,multiple,Tissue  expert added,,,,False,,False,,HGNC:1509
CASP9,ENSG00000132906,apoptosis,multiple,Tissue  expert added,,,,False,,False,,HGNC:1511
BIRC5,ENSG00000089685,"apoptosis, inhibitor","multiple, said to be generally low in adult cells except cancer",Tissue  expert added,IVD,,,False,,False,,HGNC:593
ARX,ENSG00000004848,endocrine,alpha cell,Tissue  expert added,pancreas,,,False,,False,,HGNC:18060
GHRL,ENSG00000157017,endocrine,epsilon cell,Tissue  expert added,pancreas,,,True,Pancreas - Epsilon cells,False,,HGNC:18129
IAPP,ENSG00000121351,endocrine,beta cell,Tissue  expert added,pancreas,,,False,,False,,HGNC:5329
NPTX2,ENSG00000106236,endocrine,beta cell,Tissue  expert added,pancreas,,,False,,False,,HGNC:7953
ADGRL4,ENSG00000162618,endothelial,"capillary endothelial cell,endothelial cell of artery,vein endothelial cell",TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,Liver - Hepatic stellate cells",False,,HGNC:20822
CDH5,ENSG00000179776,endothelial,"capillary endothelial cell,endothelial cell of artery,endothelial tip cell",TOP 5 (CZI) List; MxIF Proteins,,,VE-Cadherin,False,,False,,HGNC:1764
GJA4,ENSG00000187513,endothelial,"endothelial large vessel, weak airway epithelial",MxIF Proteins,,,CX37,False,,False,,HGNC:4278
FLT1,ENSG00000102755,endothelial,"endothelial cells, some monocytes, DC, trophoblast",MxIF Proteins,,,VEGFR1,False,,True,,HGNC:3763
FLT4,ENSG00000037280,endothelial,"immature venous and lymphatic, in adult in mature lymphatic endothelial and HEV of LN",MxIF Proteins,,,VEGFR3,False,,False,,HGNC:3767
ICAM1,ENSG00000090339,endothelial,endothelial and other,MxIF Proteins,,, CD54,False,,False,,HGNC:5344
