gene_label,ct_label,as_label,as,ct,gene,source,avg_mean_gene_expr,cell_instance_count,dataset_count
ACKR1,endothelial cell,outer layer of endometrium,http://purl.obolibrary.org/obo/UBERON_0022356,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1,asctb,,,
ACTA2,vascular associated smooth muscle cell,subserous artery of colon,https://purl.org/ccf/ASCTB-TEMP_subserous-artery-of-colon,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,left gastric artery,http://purl.obolibrary.org/obo/UBERON_0001192,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,iliolumbar artery,http://purl.obolibrary.org/obo/UBERON_0001313,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,dorsal artery of penis,http://purl.obolibrary.org/obo/UBERON_0001340,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,deep brachial artery,http://purl.obolibrary.org/obo/UBERON_0001399,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,subcostal artery,http://purl.obolibrary.org/obo/UBERON_0001561,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,lacrimal artery,http://purl.obolibrary.org/obo/UBERON_0001622,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,thoracodorsal artery,http://purl.obolibrary.org/obo/UBERON_0002011,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,spiral modiolar artery,http://purl.obolibrary.org/obo/UBERON_0002505,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,median sacral artery,http://purl.obolibrary.org/obo/UBERON_0005464,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,internal pudendal artery,http://purl.obolibrary.org/obo/UBERON_0007315,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,dorsal artery of clitoris,http://purl.obolibrary.org/obo/UBERON_0008323,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,ocular angle artery,http://purl.obolibrary.org/obo/UBERON_0010408,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,inferior alveolar artery,http://purl.obolibrary.org/obo/UBERON_0014693,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,middle vesical artery,http://purl.obolibrary.org/obo/UBERON_0035640,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,right gastroepiploic artery,http://purl.obolibrary.org/obo/UBERON_0035829,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Second dorsal metacarpal artery,http://purl.org/sig/ont/fma/fma0323595,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Anterior intercostal artery,http://purl.org/sig/ont/fma/fma10641,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Eighth anterior intercostal artery,http://purl.org/sig/ont/fma/fma10650,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Posterior intercostal artery,http://purl.org/sig/ont/fma/fma4176,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,First dorsal metatarsal artery,http://purl.org/sig/ont/fma/fma44647,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Auricular branch of occipital artery,http://purl.org/sig/ont/fma/fma49602,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Meningeal branch of occipital artery,http://purl.org/sig/ont/fma/fma49618,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Anterior deep temporal artery,http://purl.org/sig/ont/fma/fma49745,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Pontine artery,http://purl.org/sig/ont/fma/fma50560,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Trunk of posterior tibial artery,http://purl.org/sig/ont/fma/fma66421,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Medial segmental artery,http://purl.org/sig/ont/fma/fma68193,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Posterior inferior segmental hepatic artery,http://purl.org/sig/ont/fma/fma70446,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,dorsal meningeal artery,https://purl.org/ccf/ASCTB-TEMP_dorsal-meningeal-artery,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,lateral dorsal digital artery of third digit of hand,https://purl.org/ccf/ASCTB-TEMP_lateral-dorsal-digital-artery-of-third-digit-of-hand,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,lateral proper plantar digital artery of first digit of foot,https://purl.org/ccf/ASCTB-TEMP_lateral-proper-plantar-digital-artery-of-first-digit-of-foot,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,lateral proper plantar digital artery of third digit of foot,https://purl.org/ccf/ASCTB-TEMP_lateral-proper-plantar-digital-artery-of-third-digit-of-foot,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,medial dorsal digital artery of fifth digit of hand,https://purl.org/ccf/ASCTB-TEMP_medial-dorsal-digital-artery-of-fifth-digit-of-hand,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,medial proper palmar digital artery of first digit of hand,https://purl.org/ccf/ASCTB-TEMP_medial-proper-palmar-digital-artery-of-first-digit-of-hand,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,submucosal arteriole of colon,https://purl.org/ccf/ASCTB-TEMP_submucosal-arteriole-of-colon,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,myofibroblast cell,lamina propria of mucosa of colon,http://purl.obolibrary.org/obo/UBERON_0007177,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,myofibroblast cell,lamina propria of large intestine,http://purl.obolibrary.org/obo/UBERON_0011189,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,smooth muscle cell,dorsal pancreatic duct,http://purl.obolibrary.org/obo/UBERON_0005429,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,superficial cervical artery,http://purl.obolibrary.org/obo/UBERON_0001071,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
