gene_label,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,hgnc,organ_count,organ_list
ARX,ENSG00000004848,endocrine,alpha cell,Tissue  expert added,pancreas,,,False,,False,,HGNC:18060,1,['http://purl.obolibrary.org/obo/UBERON_0001264']
IAPP,ENSG00000121351,endocrine,beta cell,Tissue  expert added,pancreas,,,False,,False,,HGNC:5329,1,['http://purl.obolibrary.org/obo/UBERON_0001264']
ART4,ENSG00000111339,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:726,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
TSPEAR,ENSG00000175894,"endothelial, lymphatic",Lymphatic Endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:1268,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
CADM3-AS1,ENSG00000225670,"endothelial, vascular",vascular endothelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:40812,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
ADCYAP1R1,ENSG00000078549,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:242,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
AMY2A,ENSG00000243480,epithelial,acinar cell,Tissue  expert added,pancreas,,,True,Pancreas - Exocrine glandular cells,False,,HGNC:477,1,['http://purl.obolibrary.org/obo/UBERON_0001264']
ARHGAP40,ENSG00000124143,epithelial,absorptive cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:16226,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
CXCL6,ENSG00000124875,epithelial,club cell,TOP 5 (CZI) List,,,CXCL4,True,"General - Fibroblasts,Liver - Cholangiocytes,Lung - Club cells,Pancreas - Ductal cells",False,,HGNC:10643,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
HNF1B,ENSG00000275410,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,False,,False,,HGNC:11630,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
KCNC3,ENSG00000131398,epithelial,glandular epithelium,Tissue  expert added,Ovary,,,False,,False,,HGNC:6235,1,['http://purl.obolibrary.org/obo/UBERON_0001270']
SCGB3A2,ENSG00000164265,epithelial,"submocosal glands, bronchiolar epithelium, ? other tissues",MxIF Proteins,,,,False,,True,,HGNC:18391,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
SLC15A1,ENSG00000088386,epithelial,paneth cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:10920,1,['http://purl.obolibrary.org/obo/UBERON_0000059']
SLC1A1,ENSG00000106688,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10939,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
SLC22A31,ENSG00000259803,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:27091,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
SLCO1A2,ENSG00000084453,epithelial,tuft cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:10956,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
TNS4,ENSG00000131746,epithelial,myoepithelial cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:24352,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
DCD,ENSG00000161634,"epithelial, eccrine cells",Eccrine secretory cells,Tissue  expert added,Skin,,,False,,False,,HGNC:14669,1,['http://purl.obolibrary.org/obo/UBERON_0002097']
DSC1,ENSG00000134765,"epithelial, keratinocytes",Differentiated Keratinocytes,Tissue  expert added,Skin,,,False,,False,,HGNC:3035,1,['http://purl.obolibrary.org/obo/UBERON_0002097']
KRT2,ENSG00000172867,"epithelial, keratinocytes",Spinous to Granular Cells,Tissue  expert added,Skin,,,False,,False,,HGNC:6439,1,['http://purl.obolibrary.org/obo/UBERON_0002097']
SIM2,ENSG00000159263,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10883,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
CFAP157,ENSG00000160401,"epithelial, multiciliated",multiciliated cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:27843,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
DPPA4,ENSG00000121570,hematopoietic stem cell,hematopoietic stem cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19200,1,['http://purl.obolibrary.org/obo/UBERON_0001270']
ACER1,ENSG00000167769,Immune cells,CD4_RGCC,Tissue  expert added,Skin,,,False,,False,,HGNC:18356,1,['http://purl.obolibrary.org/obo/UBERON_0002097']
CLEC17A,ENSG00000187912,"immune lymphoid, B",immature B cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:34520,1,['http://purl.obolibrary.org/obo/UBERON_0001270']
UGT3A2,ENSG00000168671,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:27266,1,['http://purl.obolibrary.org/obo/UBERON_0002097']
KCND3,ENSG00000171385,"immune, myeloid","conventional dendritic cell, cDC1",Tissue  expert added,,,,False,,False,,HGNC:6239,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
SLC6A12,ENSG00000111181,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:11045,1,['http://purl.obolibrary.org/obo/UBERON_0000955']
INA,ENSG00000148798,neural,ganglion cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:6057,1,['http://purl.obolibrary.org/obo/UBERON_0000955']
PMP2,ENSG00000147588,neural,schwann cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:9117,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
TTC9B,ENSG00000174521,neural,"ganglion cell,sensory neuron",TOP 5 (CZI) List,,,,False,,False,,HGNC:26395,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
FOXO4,ENSG00000184481,senescence markers,with TP53 induces senescence,State Rescue; MxIF Proteins,,,,False,,False,,HGNC:7139,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
TECRL,ENSG00000205678,"stromal, cardiac muscle","atrial cardiac myocyte,ventricular cardiac myocyte",TOP 5 (CZI) List,,,,False,,False,,HGNC:27365,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
ACAN,ENSG00000157766,"stromal, chondrocyte","chondrocytes, CNS",Tissue  expert added,IVD,,,False,,False,,HGNC:319,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
COL10A1,ENSG00000123500,"stromal, chondrocyte",hypertrophic chondrocytes,Tissue  expert added,IVD,,,False,,False,,HGNC:2185,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
IGSF10,ENSG00000152580,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,HGNC:26384,1,['http://purl.obolibrary.org/obo/UBERON_0001270']
PWWP3B,ENSG00000157502,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,HGNC:26583,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
SHC3,ENSG00000148082,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,HGNC:18181,1,['http://purl.obolibrary.org/obo/UBERON_0000948']
JPH2,ENSG00000149596,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:14202,1,['http://purl.obolibrary.org/obo/UBERON_0001004']
