cell_type,cell_color
Ventricular Cardiomycoyte,#cd8490
Fibroblast,#7495ae
Pericyte,#aadcdf
Capillary Endothelial,#e9e4f3
B,#d6b6d7
Monocyte/cDC,#e97b74
Macrophage,#bad2e7
