,percent_low_quality,mean_pct_counts_ribo,mean_pct_counts_mt,mean_n_genes_by_counts,mean_total_counts,mean_pct_counts_in_top_20_genes,mean_pct_counts_in_top_50_genes
percent_low_quality,1.0,0.07224655448835329,0.14870707781705947,0.09598372547826499,-0.005212567480552952,0.008252204625602697,0.00433301474557359
mean_pct_counts_ribo,0.07224655448835329,1.0,-0.3704867272664189,-0.1424861840597281,-0.0038990150957130985,-0.6711376689003823,-0.6833188735482022
mean_pct_counts_mt,0.14870707781705947,-0.3704867272664189,1.0,-0.023106488612148028,-0.0011572529070097291,0.7993785568840495,0.7862382432147234
mean_n_genes_by_counts,0.09598372547826499,-0.1424861840597281,-0.023106488612148028,1.0,0.007174111535972483,-0.0009449157376550353,-0.0002625719960700218
mean_total_counts,-0.005212567480552952,-0.0038990150957130985,-0.0011572529070097291,0.007174111535972483,1.0,-0.0001616096567418192,-0.00011918765534903046
mean_pct_counts_in_top_20_genes,0.008252204625602697,-0.6711376689003823,0.7993785568840495,-0.0009449157376550353,-0.0001616096567418192,1.0,0.9993608493233106
mean_pct_counts_in_top_50_genes,0.00433301474557359,-0.6833188735482022,0.7862382432147234,-0.0002625719960700218,-0.00011918765534903046,0.9993608493233106,1.0
