handler,metric,dataset_count
cellxgene,datasets_total,12180
cellxgene,datasets_at_or_above_ribo_min,7101
cellxgene,datasets_at_or_below_ribo_max,10918
cellxgene,datasets_at_or_above_mito_min,386
cellxgene,datasets_at_or_below_mito_max,12024
cellxgene,datasets_within_mito_range,258
cellxgene,datasets_within_ribo_and_mito_ranges,134
disco,datasets_total,21311
disco,datasets_at_or_above_ribo_min,16902
disco,datasets_at_or_below_ribo_max,19658
disco,datasets_at_or_above_mito_min,9902
disco,datasets_at_or_below_mito_max,19249
disco,datasets_within_mito_range,7840
disco,datasets_within_ribo_and_mito_ranges,6939
gtex,datasets_total,24
gtex,datasets_at_or_above_ribo_min,0
gtex,datasets_at_or_below_ribo_max,24
gtex,datasets_at_or_above_mito_min,0
gtex,datasets_at_or_below_mito_max,24
gtex,datasets_within_mito_range,0
gtex,datasets_within_ribo_and_mito_ranges,0
hubmap,datasets_total,493
hubmap,datasets_at_or_above_ribo_min,133
hubmap,datasets_at_or_below_ribo_max,486
hubmap,datasets_at_or_above_mito_min,214
hubmap,datasets_at_or_below_mito_max,469
hubmap,datasets_within_mito_range,190
hubmap,datasets_within_ribo_and_mito_ranges,73
sennet,datasets_total,323
sennet,datasets_at_or_above_ribo_min,64
sennet,datasets_at_or_below_ribo_max,323
sennet,datasets_at_or_above_mito_min,204
sennet,datasets_at_or_below_mito_max,206
sennet,datasets_within_mito_range,87
sennet,datasets_within_ribo_and_mito_ranges,11
ts2,datasets_total,463
ts2,datasets_at_or_above_ribo_min,274
ts2,datasets_at_or_below_ribo_max,463
ts2,datasets_at_or_above_mito_min,25
ts2,datasets_at_or_below_mito_max,463
ts2,datasets_within_mito_range,25
ts2,datasets_within_ribo_and_mito_ranges,8
