as_label,uberon_id,sex,ref_organ
female middle hepatic vein,FMA:14340,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female middle rectal vein,FMA:18893,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female middle rectal vein,FMA:18895,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female middle rectal vein,FMA:18894,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female oblique vein of left atrium,FMA:4715,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female ophthalmic vein,UBERON:0011191,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female opthalmic artery,UBERON:0001619,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female posterior left ventricular branch,FMA:13905,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female posterior vein of left ventricle,FMA:4712,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female proper hepatic artery,FMA:14772,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary artery,UBERON:0002012,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary artery,UBERON:0001652,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary artery,UBERON:0001651,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary trunk,UBERON:0002333,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary vein,UBERON:0002016,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary vein i,FMA:49911,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary vein s,FMA:49916,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary vein i,FMA:49913,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pulmonary vein s,FMA:49914,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female renal artery,UBERON:0001184,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female renal vein,UBERON:0001140,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right colic artery,FMA:14811,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right colic vein,FMA:15407,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right common iliac vein,FMA:21387,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right coronary artery,UBERON:0001625,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right hepatic artery,FMA:14778,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right hepatic vein,FMA:14338,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right marginal artery,FMA:3818,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right renal artery,UBERON:0001185,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right renal vein,UBERON:0001141,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right uterine artery,FMA:18830,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female right uterine vein,FMA:18897,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid artery,UBERON:0035180,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid artery a,UBERON:0035180,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid artery b,UBERON:0035180,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid artery c,UBERON:0035180,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid vein,FMA:15395,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid vein a,FMA:15395,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid vein b,FMA:15395,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female sigmoid vein c,FMA:15395,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female small cardiac vein,UBERON:0035374,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female splenic artery,UBERON:0001194,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female splenic vein,UBERON:0003713,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior mesenteric artery,UBERON:0001182,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior mesenteric vein,UBERON:0001138,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior ophthalmic vein,FMA:51249,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior ophthalmic vein,FMA:51248,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior rectal artery,UBERON:0035040,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior rectal vein,UBERON:0035040,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female superior vena cava,FMA:4720,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female vena cava,UBERON:0004087,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female pontine tegmentum L,UBERON:0003023,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female pontine tegmentum R,UBERON:0003023,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female postcentral gyrus L,UBERON:0002581,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female postcentral gyrus R,UBERON:0002581,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female posterior intermediate orbital gyrus L,UBERON:0002644,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female posterior intermediate orbital gyrus R,UBERON:0002644,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female posterior parahippocampal gyrus L,UBERON:0002657,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female posterior parahippocampal gyrus R,UBERON:0002657,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female precuneus L,UBERON:0006093,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female precuneus R,UBERON:0006093,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female primary motor cortex L,UBERON:0002703,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female primary motor cortex R,UBERON:0002703,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female putamen L,UBERON:0008884,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female putamen R,UBERON:0008885,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female red nucleus L,UBERON:0001947,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female red nucleus R,UBERON:0001947,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female subcallosal gyrus parolfactory gyrus L,UBERON:0003020,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female subcallosal gyrus parolfactory gyrus R,UBERON:0003020,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female substantia nigra L,UBERON:0002038,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female substantia nigra R,UBERON:0002038,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior colliculus L,UBERON:0001945,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior colliculus R,UBERON:0001945,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior frontal gyrus L,UBERON:0002661,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior frontal gyrus R,UBERON:0002661,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior occipital gyrus L,UBERON:0002948,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior occipital gyrus R,UBERON:0002948,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior temporal gyrus L,UBERON:0002769,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female superior temporal gyrus R,UBERON:0002769,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female temporal pole L,UBERON:0002576,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female temporal pole R,UBERON:0002576,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female optic chiasm,UBERON:0000959,Female,https://purl.humanatlas.io/ref-organ/brain-female/v1.4#primary
female anterior cardiac vein,FMA:76767,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female aorta,UBERON:0000947,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female aortic arch,UBERON:0001508,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female ascending aorta,UBERON:0001496,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
female blood vasculature of eye,UBERON:0002203,Female,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary
