source,target,distance
VH_M_base_of_prostate,VH_M_transition_zone__of_prostate_L,-1
VH_M_apex_of_prostate,VH_M_prostate_duct_L,-1
VH_M_prostatic_utricle,VH_M_seminal_colliculus,-1
VH_M_central_zone_of_prostate_L,VH_M_transition_zone__of_prostate_L,-1
VH_M_ejaculatory_duct,VH_M_seminal_vesicle,-1
VH_M_apex_of_prostate,VH_M_peripheral_zone_of_prostate_L,-1
VH_M_anterior_fibromuscular_stroma_L,VH_M_peripheral_zone_of_prostate_L,-1
VH_M_base_of_prostate,VH_M_central_zone_of_prostate_L,-1
VH_M_anterior_fibromuscular_stroma_L,VH_M_transition_zone__of_prostate_L,-1
VH_M_anterior_fibromuscular_stroma_L,VH_M_base_of_prostate,-1
VH_M_transition_zone__of_prostate_L,VH_M_transition_zone_of_prostate_R,-1
VH_M_anterior_fibromuscular_stroma_R,VH_M_transition_zone_of_prostate_R,-1
VH_M_prostate_duct_R,VH_M_transition_zone_of_prostate_R,-1
VH_M_anterior_fibromuscular_stroma_L,VH_M_central_zone_of_prostate_L,-1
VH_M_peripheral_zone_of_prostate_L,VH_M_peripheral_zone_of_prostate_R,-1
VH_M_anterior_fibromuscular_stroma_R,VH_M_base_of_prostate,-1
VH_M_ejaculatory_duct,VH_M_seminal_colliculus,-1
VH_M_prostate_duct_L,VH_M_transition_zone__of_prostate_L,-1
VH_M_anterior_fibromuscular_stroma_R,VH_M_central_zone_of_prostate_R,-1
VH_M_base_of_prostate,VH_M_peripheral_zone_of_prostate_R,-1
VH_M_central_zone_of_prostate_R,VH_M_ejaculatory_duct,-1
VH_M_central_zone_of_prostate_R,VH_M_peripheral_zone_of_prostate_R,-1
VH_M_central_zone_of_prostate_L,VH_M_peripheral_zone_of_prostate_R,-1
VH_M_base_of_prostate,VH_M_central_zone_of_prostate_R,-1
VH_M_central_zone_of_prostate_L,VH_M_ejaculatory_duct,-1
VH_M_central_zone_of_prostate_L,VH_M_central_zone_of_prostate_R,-1
VH_M_peripheral_zone_of_prostate_L,VH_M_prostate_duct_L,-1
VH_M_apex_of_prostate,VH_M_peripheral_zone_of_prostate_R,-1
VH_M_anterior_fibromuscular_stroma_L,VH_M_anterior_fibromuscular_stroma_R,-1
VH_M_anterior_fibromuscular_stroma_L,VH_M_apex_of_prostate,-1
VH_M_peripheral_zone_of_prostate_L,VH_M_transition_zone__of_prostate_L,-1
VH_M_peripheral_zone_of_prostate_R,VH_M_prostate_duct_R,-1
VH_M_anterior_fibromuscular_stroma_R,VH_M_peripheral_zone_of_prostate_R,-1
VH_M_base_of_prostate,VH_M_peripheral_zone_of_prostate_L,-1
VH_M_central_zone_of_prostate_R,VH_M_transition_zone_of_prostate_R,-1
VH_M_base_of_prostate,VH_M_transition_zone_of_prostate_R,-1
VH_M_anterior_fibromuscular_stroma_R,VH_M_apex_of_prostate,-1
VH_M_peripheral_zone_of_prostate_R,VH_M_transition_zone_of_prostate_R,-1
VH_M_apex_of_prostate,VH_M_prostate_duct_R,-1
VH_M_central_zone_of_prostate_R,VH_M_peripheral_zone_of_prostate_L,-1
VH_M_central_zone_of_prostate_L,VH_M_peripheral_zone_of_prostate_L,-1
