source,target,distance
VH_F_papillary_muscle_of_heart_pos,VH_F_right_ventricle,-1
VH_F_pulmonary_valve,VH_F_right_ventricle,-1
VH_F_aortic_valve,VH_F_left_ventricle,-1
VH_F_interventricular_septum,VH_F_mitral_valve,-1
VH_F_right_cardiac_atrium,VH_F_right_ventricle,-1
VH_F_aortic_valve,VH_F_left_cardiac_atrium,-1
VH_F_interventricular_septum,VH_F_left_ventricle,-1
VH_F_papillary_muscle_of_heart_ant,VH_F_right_ventricle,-1
VH_F_left_cardiac_atrium,VH_F_right_ventricle,-1
VH_F_mitral_valve,VH_F_tricuspid_valve,-1
VH_F_mitral_valve,VH_F_right_ventricle,-1
VH_F_left_cardiac_atrium,VH_F_mitral_valve,-1
VH_F_papillary_muscle_of_heart_med,VH_F_right_ventricle,-1
VH_F_left_ventricle,VH_F_tricuspid_valve,-1
VH_F_left_cardiac_atrium,VH_F_right_cardiac_atrium,-1
VH_F_interventricular_septum,VH_F_papillary_muscle_of_heart_posmed,-1
VH_F_left_ventricle,VH_F_right_ventricle,-1
VH_F_left_cardiac_atrium,VH_F_left_ventricle,-1
VH_F_aortic_valve,VH_F_right_ventricle,-1
VH_F_interventricular_septum,VH_F_tricuspid_valve,-1
VH_F_left_ventricle,VH_F_mitral_valve,-1
VH_F_right_ventricle,VH_F_tricuspid_valve,-1
VH_F_aortic_valve,VH_F_interventricular_septum,-1
VH_F_left_ventricle,VH_F_right_cardiac_atrium,-1
VH_F_interventricular_septum,VH_F_right_ventricle,-1
VH_F_right_cardiac_atrium,VH_F_tricuspid_valve,-1
