source,target,distance
VH_M_heart_right_ventricle,VH_M_papillary_muscle_of_heart_medial,-1
VH_M_heart_left_ventricle,VH_M_interventricular_septum,-1
VH_M_heart_left_ventricle,VH_M_mitral_valve,-1
VH_M_heart_left_ventricle,VH_M_heart_right_ventricle,-1
VH_M_aortic_valve,VH_M_mitral_valve,-1
VH_M_heart_right_ventricle,VH_M_right_cardiac_atrium,-1
VH_M_interventricular_septum,VH_M_mitral_valve,-1
VH_M_aortic_valve,VH_M_heart_right_ventricle,-1
VH_M_mitral_valve,VH_M_right_cardiac_atrium,-1
VH_M_heart_right_ventricle,VH_M_tricuspid_valve,-1
VH_M_heart_left_ventricle,VH_M_right_cardiac_atrium,-1
VH_M_aortic_valve,VH_M_heart_left_ventricle,-1
VH_M_heart_left_ventricle,VH_M_tricuspid_valve,-1
VH_M_interventricular_septum,VH_M_tricuspid_valve,-1
VH_M_right_cardiac_atrium,VH_M_tricuspid_valve,-1
VH_M_heart_right_ventricle,VH_M_pulmonary_valve,-1
VH_M_left_cardiac_atrium,VH_M_mitral_valve,-1
VH_M_heart_left_ventricle,VH_M_left_cardiac_atrium,-1
VH_M_heart_right_ventricle,VH_M_interventricular_septum,-1
VH_M_heart_right_ventricle,VH_M_papillary_muscle_of_heart_anterior,-1
VH_M_heart_right_ventricle,VH_M_papillary_muscle_of_heart_posterior,-1
VH_M_aortic_valve,VH_M_left_cardiac_atrium,-1
VH_M_left_cardiac_atrium,VH_M_right_cardiac_atrium,-1
