source,target,distance
VH_F_trigone_of_urinary_bladder,VH_F_ureteral_orifice_R,-1
VH_F_fundus_of_urinary_bladder_base,VH_F_trigone_of_urinary_bladder,-1
VH_F_trigone_of_urinary_bladder,VH_F_urinary_bladder_neck_smooth_muscle,-1
VH_F_fundus_of_urinary_bladder_base,VH_F_fundus_of_urinary_bladder_dome,-1
VH_F_fundus_of_urinary_bladder_base,VH_F_urinary_bladder_neck_smooth_muscle,-1
VH_F_fundus_of_urinary_bladder_base,VH_F_ureteral_orifice_L,-1
VH_F_trigone_of_urinary_bladder,VH_F_ureteral_orifice_L,-1
VH_F_fundus_of_urinary_bladder_dome,VH_F_trigone_of_urinary_bladder,-1
