source,target,distance
VH_M_renal_column_R,VH_M_renal_pyramid_a,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_a,-1
VH_M_hilum_of_kidney_R,VH_M_renal_pyramid_e,-1
VH_M_renal_column_R,VH_M_renal_papilla_R_e,-1
VH_M_renal_column_R,VH_M_renal_pyramid_g,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_papilla_R_e,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_g,-1
VH_M_hilum_of_kidney_R,VH_M_renal_papilla_R_e,-1
VH_M_hilum_of_kidney_R,VH_M_renal_pyramid_g,-1
VH_M_renal_column_R,VH_M_renal_pyramid_h,-1
VH_M_renal_column_R,VH_M_renal_pyramid_d,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_h,-1
VH_M_hilum_of_kidney_R,VH_M_renal_pyramid_h,-1
VH_M_renal_column_R,VH_M_renal_pyramid_j,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_j,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_d,-1
VH_M_renal_column_R,VH_M_renal_papilla_R_d,-1
VH_M_renal_papilla_R_i,VH_M_renal_pyramid_i,-1
VH_M_kidney_capsule_R,VH_M_outer_cortex_of_kidney_R,-1
VH_M_renal_papilla_R_e,VH_M_renal_pyramid_e,-1
VH_M_renal_papilla_R_h,VH_M_renal_pyramid_h,-1
VH_M_renal_papilla_R_b,VH_M_renal_pyramid_b,-1
VH_M_hilum_of_kidney_R,VH_M_outer_cortex_of_kidney_R,-1
VH_M_renal_column_R,VH_M_renal_pyramid_b,-1
VH_M_renal_papilla_R_g,VH_M_renal_pyramid_g,-1
VH_M_renal_column_R,VH_M_renal_pyramid_c,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_b,-1
VH_M_renal_papilla_R_d,VH_M_renal_pyramid_d,-1
VH_M_renal_papilla_R_a,VH_M_renal_pyramid_a,-1
VH_M_renal_papilla_R_f,VH_M_renal_pyramid_f,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_c,-1
VH_M_renal_column_R,VH_M_renal_pyramid_f,-1
VH_M_renal_papilla_R_j,VH_M_renal_pyramid_j,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_f,-1
VH_M_renal_column_R,VH_M_renal_papilla_R_b,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_column_R,-1
VH_M_hilum_of_kidney_R,VH_M_renal_papilla_R_g,-1
VH_M_hilum_of_kidney_R,VH_M_renal_pyramid_f,-1
VH_M_hilum_of_kidney_R,VH_M_renal_column_R,-1
VH_M_renal_column_R,VH_M_renal_pyramid_i,-1
VH_M_renal_column_R,VH_M_renal_pyramid_e,-1
VH_M_renal_papilla_R_c,VH_M_renal_pyramid_c,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_i,-1
VH_M_outer_cortex_of_kidney_R,VH_M_renal_pyramid_e,-1
