source,target,distance
VH_F_femur_R,VH_F_intercondylar_fossa_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_posterior_cruciate_enthesis_R,-1
VH_F_anterior_cruciate_enthesis_R,VH_F_posterior_cruciate_enthesis_R,-1
VH_F_medial_condyle_of_right_femur_sup,VH_F_meniscus_R,-1
VH_F_femur_R,VH_F_lateral_perichondular_surface_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_lateral_condyle_of_femur_inf_R,-1
VH_F_medial_condyle_of_right_femur_sup,VH_F_trochlear_groove_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_medial_condyle_of_right_femur_inf,-1
VH_F_medial_epicondylar_enthesis_R,VH_F_medial_perichondular_surface_R,-1
VH_F_lateral_epicondylar_enthesis_R,VH_F_lateral_perichondular_surface_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_intercondylar_fossa_R,-1
VH_F_femur_R,VH_F_medial_perichondular_surface_R,-1
VH_F_femur_R,VH_F_posterior_cruciate_enthesis_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_lateral_condyle_of_femur_frontal_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_femur_R,-1
VH_F_anterior_cruciate_enthesis_R,VH_F_articular_cartilage_of_knee_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_meniscus_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_medial_condyle_of_right_femur_sup,-1
VH_F_articular_cartilage_of_knee_R,VH_F_lateral_condyle_of_femur_sup_R,-1
VH_F_anterior_cruciate_enthesis_R,VH_F_femur_R,-1
VH_F_lateral_condyle_of_femur_sup_R,VH_F_trochlear_groove_R,-1
VH_F_meniscus_R,VH_F_tibia_R,-1
VH_F_intercondylar_fossa_R,VH_F_posterior_cruciate_enthesis_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_trochlear_groove_R,-1
VH_F_femur_R,VH_F_medial_epicondylar_enthesis_R,-1
VH_F_articular_cartilage_of_knee_R,VH_F_distal_most_point_of_medial_condyle_R,-1
VH_F_femur_R,VH_F_lateral_epicondylar_enthesis_R,-1
