source,target,distance
VH_M_bare_area_of_liver,VH_M_ligamentum_venosum,-1
VH_M_duodenal_impression_of_liver,VH_M_right_anteroinferior_segment,-1
VH_M_left_anterolateral_segment,VH_M_left_inferomedial_segment,-1
VH_M_porta_hepatis,VH_M_right_anteroinferior_segment,-1
VH_M_ligamentum_venosum,VH_M_liver_capsule,-1
VH_M_bare_area_of_liver,VH_M_hepataduodenal_ligament,-1
VH_M_right_anterosuperior_segment,VH_M_right_posteroinferior_segment,-1
VH_M_quadrate_lobe_of_liver,VH_M_right_anteroinferior_segment,-1
VH_M_right_anteroinferior_segment,VH_M_right_posterosuperior_segment,-1
VH_M_esophageal_impression_of_liver,VH_M_liver_capsule,-1
VH_M_left_posterolateral_segment,VH_M_left_superiomedial_segment,-1
VH_M_left_posterolateral_segment,VH_M_liver_capsule,-1
VH_M_diaphragmatic_surface,VH_M_left_anterolateral_segment,-1
VH_M_porta_hepatis,VH_M_quadrate_lobe_of_liver,-1
VH_M_diaphragmatic_surface,VH_M_porta_hepatis,-1
VH_M_coronary_ligament_of_liver,VH_M_right_posteroinferior_segment,-1
VH_M_diaphragmatic_surface,VH_M_right_posterosuperior_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_porta_hepatis,-1
VH_M_caudate_lobe_of_liver,VH_M_diaphragmatic_surface,-1
VH_M_duodenal_impression_of_liver,VH_M_liver_capsule,-1
VH_M_diaphragmatic_surface,VH_M_right_anteroinferior_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_right_posterosuperior_segment,-1
VH_M_falciform_ligament,VH_M_round_ligament_of_liver,-1
VH_M_caudate_lobe_of_liver,VH_M_right_anteroinferior_segment,-1
VH_M_coronary_ligament_of_liver,VH_M_left_posterolateral_segment,-1
VH_M_coronary_ligament_of_liver,VH_M_ligamentum_venosum,-1
VH_M_falciform_ligament,VH_M_left_superiomedial_segment,-1
VH_M_falciform_ligament,VH_M_liver_capsule,-1
VH_M_caudate_lobe_of_liver,VH_M_right_anterosuperior_segment,-1
VH_M_diaphragmatic_surface,VH_M_quadrate_lobe_of_liver,-1
VH_M_left_anterolateral_segment,VH_M_round_ligament_of_liver,-1
VH_M_right_posteroinferior_segment,VH_M_right_posterosuperior_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_quadrate_lobe_of_liver,-1
VH_M_ligamentum_venosum,VH_M_porta_hepatis,-1
VH_M_left_anterolateral_segment,VH_M_left_superiomedial_segment,-1
VH_M_hepataduodenal_ligament,VH_M_ligamentum_venosum,-1
VH_M_colic_impression_of_liver,VH_M_diaphragmatic_surface,-1
VH_M_left_anterolateral_segment,VH_M_liver_capsule,-1
VH_M_colic_impression_of_liver,VH_M_right_anteroinferior_segment,-1
VH_M_renal_impression_of_liver,VH_M_right_anteroinferior_segment,-1
VH_M_diaphragmatic_surface,VH_M_liver_capsule,-1
VH_M_ligamentum_venosum,VH_M_triangular_ligament_of_liver,-1
VH_M_caudate_lobe_of_liver,VH_M_liver_capsule,-1
VH_M_bare_area_of_liver,VH_M_right_posteroinferior_segment,-1
VH_M_bare_area_of_liver,VH_M_caudate_lobe_of_liver,-1
VH_M_left_posterolateral_segment,VH_M_triangular_ligament_of_liver,-1
VH_M_liver_capsule,VH_M_round_ligament_of_liver,-1
VH_M_diaphragmatic_surface,VH_M_hepataduodenal_ligament,-1
VH_M_falciform_ligament,VH_M_left_anterolateral_segment,-1
VH_M_diaphragmatic_surface,VH_M_renal_impression_of_liver,-1
VH_M_caudate_lobe_of_liver,VH_M_hepataduodenal_ligament,-1
VH_M_diaphragmatic_surface,VH_M_suprarenal_impression_of_liver,-1
VH_M_caudate_lobe_of_liver,VH_M_suprarenal_impression_of_liver,-1
VH_M_colic_impression_of_liver,VH_M_liver_capsule,-1
VH_M_left_superiomedial_segment,VH_M_right_anteroinferior_segment,-1
VH_M_left_anterolateral_segment,VH_M_porta_hepatis,-1
VH_M_diaphragmatic_surface,VH_M_duodenal_impression_of_liver,-1
VH_M_esophageal_impression_of_liver,VH_M_left_posterolateral_segment,-1
VH_M_esophageal_impression_of_liver,VH_M_ligamentum_venosum,-1
VH_M_left_superiomedial_segment,VH_M_right_anterosuperior_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_coronary_ligament_of_liver,-1
VH_M_right_posteroinferior_segment,VH_M_suprarenal_impression_of_liver,-1
VH_M_renal_impression_of_liver,VH_M_suprarenal_impression_of_liver,-1
VH_M_diaphragmatic_surface,VH_M_triangular_ligament_of_liver,-1
VH_M_left_anterolateral_segment,VH_M_quadrate_lobe_of_liver,-1
VH_M_right_anteroinferior_segment,VH_M_right_posteroinferior_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_triangular_ligament_of_liver,-1
VH_M_falciform_ligament,VH_M_left_posterolateral_segment,-1
VH_M_liver_capsule,VH_M_right_posterosuperior_segment,-1
VH_M_left_inferomedial_segment,VH_M_round_ligament_of_liver,-1
VH_M_left_superiomedial_segment,VH_M_liver_capsule,-1
VH_M_liver_capsule,VH_M_right_anteroinferior_segment,-1
VH_M_left_inferomedial_segment,VH_M_left_superiomedial_segment,-1
VH_M_liver_capsule,VH_M_right_anterosuperior_segment,-1
VH_M_right_anterosuperior_segment,VH_M_right_posterosuperior_segment,-1
VH_M_left_anterolateral_segment,VH_M_left_posterolateral_segment,-1
VH_M_diaphragmatic_surface,VH_M_left_posterolateral_segment,-1
VH_M_diaphragmatic_surface,VH_M_ligamentum_venosum,-1
VH_M_caudate_lobe_of_liver,VH_M_left_posterolateral_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_ligamentum_venosum,-1
VH_M_gastric_impression_of_liver,VH_M_left_anterolateral_segment,-1
VH_M_liver_capsule,VH_M_renal_impression_of_liver,-1
VH_M_liver_capsule,VH_M_suprarenal_impression_of_liver,-1
VH_M_left_inferomedial_segment,VH_M_right_anteroinferior_segment,-1
VH_M_diaphragmatic_surface,VH_M_gastric_impression_of_liver,-1
VH_M_left_posterolateral_segment,VH_M_ligamentum_venosum,-1
VH_M_coronary_ligament_of_liver,VH_M_left_superiomedial_segment,-1
VH_M_coronary_ligament_of_liver,VH_M_liver_capsule,-1
VH_M_caudate_lobe_of_liver,VH_M_duodenal_impression_of_liver,-1
VH_M_left_inferomedial_segment,VH_M_right_anterosuperior_segment,-1
VH_M_bare_area_of_liver,VH_M_right_posterosuperior_segment,-1
VH_M_hepataduodenal_ligament,VH_M_round_ligament_of_liver,-1
VH_M_left_inferomedial_segment,VH_M_quadrate_lobe_of_liver,-1
VH_M_bare_area_of_liver,VH_M_right_anteroinferior_segment,-1
VH_M_hepataduodenal_ligament,VH_M_liver_capsule,-1
VH_M_liver_capsule,VH_M_right_posteroinferior_segment,-1
VH_M_liver_capsule,VH_M_porta_hepatis,-1
VH_M_left_inferomedial_segment,VH_M_liver_capsule,-1
VH_M_liver_capsule,VH_M_triangular_ligament_of_liver,-1
VH_M_gastric_impression_of_liver,VH_M_liver_capsule,-1
VH_M_diaphragmatic_surface,VH_M_right_posteroinferior_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_right_posteroinferior_segment,-1
VH_M_liver_capsule,VH_M_quadrate_lobe_of_liver,-1
VH_M_bare_area_of_liver,VH_M_left_superiomedial_segment,-1
VH_M_bare_area_of_liver,VH_M_liver_capsule,-1
VH_M_coronary_ligament_of_liver,VH_M_diaphragmatic_surface,-1
VH_M_coronary_ligament_of_liver,VH_M_right_posterosuperior_segment,-1
VH_M_hepataduodenal_ligament,VH_M_left_anterolateral_segment,-1
VH_M_coronary_ligament_of_liver,VH_M_triangular_ligament_of_liver,-1
VH_M_hepataduodenal_ligament,VH_M_porta_hepatis,-1
VH_M_diaphragmatic_surface,VH_M_left_inferomedial_segment,-1
VH_M_renal_impression_of_liver,VH_M_right_posteroinferior_segment,-1
VH_M_hepataduodenal_ligament,VH_M_right_anteroinferior_segment,-1
VH_M_right_anteroinferior_segment,VH_M_right_anterosuperior_segment,-1
VH_M_bare_area_of_liver,VH_M_left_anterolateral_segment,-1
VH_M_bare_area_of_liver,VH_M_coronary_ligament_of_liver,-1
VH_M_hepataduodenal_ligament,VH_M_quadrate_lobe_of_liver,-1
VH_M_quadrate_lobe_of_liver,VH_M_round_ligament_of_liver,-1
VH_M_bare_area_of_liver,VH_M_porta_hepatis,-1
VH_M_bare_area_of_liver,VH_M_diaphragmatic_surface,-1
VH_M_esophageal_impression_of_liver,VH_M_left_anterolateral_segment,-1
VH_M_diaphragmatic_surface,VH_M_round_ligament_of_liver,-1
VH_M_bare_area_of_liver,VH_M_quadrate_lobe_of_liver,-1
VH_M_diaphragmatic_surface,VH_M_esophageal_impression_of_liver,-1
VH_M_caudate_lobe_of_liver,VH_M_left_superiomedial_segment,-1
VH_M_gastric_impression_of_liver,VH_M_left_posterolateral_segment,-1
VH_M_falciform_ligament,VH_M_left_inferomedial_segment,-1
VH_M_caudate_lobe_of_liver,VH_M_esophageal_impression_of_liver,-1
VH_M_bare_area_of_liver,VH_M_left_posterolateral_segment,-1
VH_M_coronary_ligament_of_liver,VH_M_falciform_ligament,-1
