source,target,distance
VH_F_articular_cartilage_of_knee_L,VH_F_lateral_condyle_of_femur_sup_L,-1
VH_F_anterior_cruciate_enthesis_L,VH_F_articular_cartilage_of_knee_L,-1
VH_F_lateral_condyle_of_femur_sup_L,VH_F_trochlear_groove_L,-1
VH_F_medial_condyle_of_left_femur_sup,VH_F_trochlear_groove_L,-1
VH_F_lateral_epicondylar_enthesis_L,VH_F_lateral_perichondular_surface_L,-1
VH_F_medial_epicondylar_enthesis_L,VH_F_medial_perichondular_surface_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_intercondylar_fossa_L,-1
VH_F_anterior_cruciate_enthesis_L,VH_F_femur_L,-1
VH_F_medial_condyle_of_left_femur_sup,VH_F_meniscus_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_medial_condyle_of_left_femur_inf,-1
VH_F_articular_cartilage_of_knee_L,VH_F_medial_condyle_of_left_femur_sup,-1
VH_F_femur_L,VH_F_lateral_perichondular_surface_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_trochlear_groove_L,-1
VH_F_meniscus_L,VH_F_tibia_L,-1
VH_F_femur_L,VH_F_lateral_epicondylar_enthesis_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_posterior_cruciate_enthesis_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_meniscus_L,-1
VH_F_femur_L,VH_F_intercondylar_fossa_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_lateral_condyle_of_femur_inf_L,-1
VH_F_femur_L,VH_F_medial_perichondular_surface_L,-1
VH_F_femur_L,VH_F_posterior_cruciate_enthesis_L,-1
VH_F_femur_L,VH_F_medial_epicondylar_enthesis_L,-1
VH_F_anterior_cruciate_enthesis_L,VH_F_posterior_cruciate_enthesis_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_femur_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_lateral_condyle_of_femur_frontal_L,-1
VH_F_articular_cartilage_of_knee_L,VH_F_distal_most_point_of_medial_condyle_L,-1
VH_F_intercondylar_fossa_L,VH_F_posterior_cruciate_enthesis_L,-1
