source,target,distance
VH_M_cornea_L,VH_M_corneo_scleral_junction_L,-1
VH_M_iris_L,VH_M_trabecular_meshwork_L,-1
VH_M_aqueous_humor_L,VH_M_pupil_L,-1
VH_M_ciliary_processes_L,VH_M_vitreous_humor_L,-1
VH_M_retina_L,VH_M_sclera_L,-1
VH_M_lens_L,VH_M_pupil_L,-1
VH_M_bulbar_conjunctiva_L,VH_M_sclera_L,-1
VH_M_macula_lutea_L,VH_M_vitreous_humor_L,-1
VH_M_sclera_L,VH_M_trabecular_meshwork_L,-1
VH_M_aqueous_humor_L,VH_M_iris_L,-1
VH_M_ciliary_body_L,VH_M_ciliary_muscle_L,-1
VH_M_ciliary_body_L,VH_M_optic_choroid_L,-1
VH_M_lens_L,VH_M_suspensory_ligament_of_lens_L,-1
VH_M_cornea_L,VH_M_sclera_L,-1
VH_M_macula_lutea_L,VH_M_retina_L,-1
VH_M_fovea_L,VH_M_macula_lutea_L,-1
VH_M_ciliary_body_L,VH_M_iris_L,-1
VH_M_ciliary_body_L,VH_M_suspensory_ligament_of_lens_L,-1
VH_M_aqueous_humor_L,VH_M_ciliary_body_L,-1
VH_M_lens_L,VH_M_vitreous_humor_L,-1
VH_M_aqueous_humor_L,VH_M_schlemms_canal_L,-1
VH_M_ciliary_muscle_L,VH_M_ora_serrata_of_retina_L,-1
VH_M_ciliary_muscle_L,VH_M_sclera_L,-1
VH_M_optic_choroid_L,VH_M_suspensory_ligament_of_lens_L,-1
VH_M_ciliary_body_L,VH_M_vitreous_humor_L,-1
VH_M_ora_serrata_of_retina_L,VH_M_vitreous_humor_L,-1
VH_M_optic_choroid_L,VH_M_optic_disc_L,-1
VH_M_ora_serrata_of_retina_L,VH_M_retina_L,-1
VH_M_ciliary_body_L,VH_M_ciliary_processes_L,-1
VH_M_ciliary_body_L,VH_M_retina_L,-1
VH_M_suspensory_ligament_of_lens_L,VH_M_vitreous_humor_L,-1
VH_M_schlemms_canal_L,VH_M_trabecular_meshwork_L,-1
VH_M_retina_L,VH_M_vitreous_humor_L,-1
VH_M_optic_choroid_L,VH_M_retina_L,-1
VH_M_ciliary_muscle_L,VH_M_trabecular_meshwork_L,-1
VH_M_ciliary_muscle_L,VH_M_optic_choroid_L,-1
VH_M_aqueous_humor_L,VH_M_cornea_L,-1
VH_M_fovea_L,VH_M_vitreous_humor_L,-1
VH_M_ciliary_muscle_L,VH_M_iris_L,-1
VH_M_aqueous_humor_L,VH_M_lens_L,-1
VH_M_ciliary_muscle_L,VH_M_suspensory_ligament_of_lens_L,-1
VH_M_ciliary_body_L,VH_M_ora_serrata_of_retina_L,-1
VH_M_iris_L,VH_M_lens_L,-1
VH_M_corneo_scleral_junction_L,VH_M_sclera_L,-1
VH_M_ciliary_processes_L,VH_M_suspensory_ligament_of_lens_L,-1
VH_M_aqueous_humor_L,VH_M_ciliary_muscle_L,-1
VH_M_optic_choroid_L,VH_M_ora_serrata_of_retina_L,-1
VH_M_optic_choroid_L,VH_M_sclera_L,-1
VH_M_ciliary_muscle_L,VH_M_ciliary_processes_L,-1
VH_M_aqueous_humor_L,VH_M_trabecular_meshwork_L,-1
VH_M_optic_disc_L,VH_M_retina_L,-1
