source,target,distance
VH_M_minor_calyx_L_a,VH_M_minor_calyx_L_d,-1
VH_M_minor_calyx_L_b,VH_M_minor_calyx_L_c,-1
VH_M_major_calyx_L_c,VH_M_renal_pelvis_L,-1
VH_M_minor_calyx_L_a,VH_M_minor_calyx_L_b,-1
VH_M_minor_calyx_L_e,VH_M_minor_calyx_L_f,-1
VH_M_minor_calyx_L_c,VH_M_minor_calyx_L_d,-1
VH_M_minor_calyx_L_g,VH_M_minor_calyx_L_h,-1
VH_M_major_calyx_L_c,VH_M_minor_calyx_L_g,-1
VH_M_major_calyx_L_b,VH_M_minor_calyx_L_e,-1
VH_M_minor_calyx_L_h,VH_M_minor_calyx_L_i,-1
VH_M_major_calyx_L_a,VH_M_minor_calyx_L_a,-1
VH_M_major_calyx_L_a,VH_M_minor_calyx_L_d,-1
VH_M_major_calyx_L_c,VH_M_minor_calyx_L_h,-1
VH_M_renal_pelvis_L,VH_M_ureter_L,-1
VH_M_major_calyx_L_a,VH_M_minor_calyx_L_b,-1
VH_M_major_calyx_L_a,VH_M_renal_pelvis_L,-1
VH_M_major_calyx_L_b,VH_M_minor_calyx_L_f,-1
VH_M_minor_calyx_L_b,VH_M_minor_calyx_L_d,-1
VH_M_major_calyx_L_a,VH_M_minor_calyx_L_c,-1
VH_M_major_calyx_L_b,VH_M_renal_pelvis_L,-1
