source,target,distance
VH_F_abdominal_ostium_of_uterine_tube,VH_F_anterior_wall_of_uterus,-1
VH_F_abdominal_ostium_of_uterine_tube,VH_F_body_of_uterus,-1
VH_F_body_of_uterus,VH_F_posterior_wall_of_uterus,-1
VH_F_body_of_uterus,VH_F_cornua,-1
VH_F_cornua,VH_F_fundus_of_uterus,-1
VH_F_internal_cervical_os,VH_F_lower_uterine_segment,-1
VH_F_lower_uterine_segment,VH_F_posterior_wall_of_uterus,-1
VH_F_fundus_of_uterus,VH_F_posterior_wall_of_uterus,-1
VH_F_anterior_wall_of_uterus,VH_F_fundus_of_uterus,-1
VH_F_body_of_uterus,VH_F_lower_uterine_segment,-1
VH_F_cervix,VH_F_lower_uterine_segment,-1
VH_F_anterior_wall_of_uterus,VH_F_posterior_wall_of_uterus,-1
VH_F_anterior_wall_of_uterus,VH_F_body_of_uterus,-1
VH_F_cervix,VH_F_internal_cervical_os,-1
VH_F_cervix,VH_F_external_cervical_os,-1
VH_F_anterior_wall_of_uterus,VH_F_lower_uterine_segment,-1
VH_F_abdominal_ostium_of_uterine_tube,VH_F_fundus_of_uterus,-1
VH_F_cervicovaginal_junction,VH_F_cervix,-1
VH_F_body_of_uterus,VH_F_fundus_of_uterus,-1
