source,target,distance
VH_M_aqueous_humor_R,VH_M_schlemms_canal_R,-1
VH_M_ciliary_muscle_R,VH_M_optic_choroid_R,-1
VH_M_optic_choroid_R,VH_M_ora_serrata_of_retina_R,-1
VH_M_iris_R,VH_M_lens_R,-1
VH_M_lens_R,VH_M_pupil_R,-1
VH_M_ciliary_body_R,VH_M_retina_R,-1
VH_M_optic_choroid_R,VH_M_optic_disc_R,-1
VH_M_iris_R,VH_M_trabecular_meshwork_R,-1
VH_M_macula_lutea_R,VH_M_retina_R,-1
VH_M_lens_R,VH_M_vitreous_humor_R,-1
VH_M_ciliary_body_R,VH_M_ciliary_muscle_R,-1
VH_M_ciliary_body_R,VH_M_suspensory_ligament_of_lens_R,-1
VH_M_bulbar_conjunctiva_R,VH_M_sclera_R,-1
VH_M_ora_serrata_of_retina_R,VH_M_vitreous_humor_R,-1
VH_M_retina_R,VH_M_vitreous_humor_R,-1
VH_M_aqueous_humor_R,VH_M_iris_R,-1
VH_M_ciliary_muscle_R,VH_M_sclera_R,-1
VH_M_ciliary_body_R,VH_M_ciliary_processes_R,-1
VH_M_optic_choroid_R,VH_M_sclera_R,-1
VH_M_aqueous_humor_R,VH_M_ciliary_body_R,-1
VH_M_ciliary_body_R,VH_M_ora_serrata_of_retina_R,-1
VH_M_cornea_R,VH_M_corneo_scleral_junction_R,-1
VH_M_ciliary_body_R,VH_M_optic_choroid_R,-1
VH_M_ciliary_muscle_R,VH_M_iris_R,-1
VH_M_cornea_R,VH_M_sclera_R,-1
VH_M_ciliary_body_R,VH_M_vitreous_humor_R,-1
VH_M_suspensory_ligament_of_lens_R,VH_M_vitreous_humor_R,-1
VH_M_macula_lutea_R,VH_M_vitreous_humor_R,-1
VH_M_ciliary_processes_R,VH_M_suspensory_ligament_of_lens_R,-1
VH_M_retina_R,VH_M_sclera_R,-1
VH_M_aqueous_humor_R,VH_M_ciliary_muscle_R,-1
VH_M_aqueous_humor_R,VH_M_lens_R,-1
VH_M_sclera_R,VH_M_trabecular_meshwork_R,-1
VH_M_schlemms_canal_R,VH_M_trabecular_meshwork_R,-1
VH_M_optic_choroid_R,VH_M_retina_R,-1
VH_M_aqueous_humor_R,VH_M_trabecular_meshwork_R,-1
VH_M_ciliary_processes_R,VH_M_vitreous_humor_R,-1
VH_M_fovea_R,VH_M_vitreous_humor_R,-1
VH_M_aqueous_humor_R,VH_M_pupil_R,-1
VH_M_corneo_scleral_junction_R,VH_M_sclera_R,-1
VH_M_ciliary_muscle_R,VH_M_suspensory_ligament_of_lens_R,-1
VH_M_ciliary_muscle_R,VH_M_ciliary_processes_R,-1
VH_M_fovea_R,VH_M_macula_lutea_R,-1
VH_M_optic_choroid_R,VH_M_suspensory_ligament_of_lens_R,-1
VH_M_ora_serrata_of_retina_R,VH_M_retina_R,-1
VH_M_optic_disc_R,VH_M_retina_R,-1
VH_M_ciliary_muscle_R,VH_M_trabecular_meshwork_R,-1
VH_M_aqueous_humor_R,VH_M_cornea_R,-1
VH_M_ciliary_body_R,VH_M_iris_R,-1
VH_M_lens_R,VH_M_suspensory_ligament_of_lens_R,-1
VH_M_ciliary_muscle_R,VH_M_ora_serrata_of_retina_R,-1
