organ,as_label,cell_id,cell_label,cell_percentage,anatomical_structure_of,node_name,label,glb file of single organs,color
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000084,T cell,0.001890946741352456,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#77762b
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000097,mast cell,9.004508292154553e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#44537d
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000236,B cell,1.968915807322424e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#ced833
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000786,plasma cell,0.0006500047385240431,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#a6d5f7
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000814,mature NK T cell,1.968915807322424e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#896492
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000875,non-classical monocyte,3.937831614644848e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#5a0b7f
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0000890,M2 macrophage,0.01332667227238874,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#c6e8bc
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0002201,renal beta-intercalated cell,0.0003347156872448121,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#994b4f
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_0011031,monocyte-derived dendritic cell,0.0008694732205135825,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#11860b
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000597,papillary tips cell,1.968915807322424e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#18b8d1
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000692,kidney interstitial fibroblast,0.0002701352487646366,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#d47e96
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000714,kidney cortex collecting duct principal cell,0.0017245077251068,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#7062c8
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000716,kidney outer medulla collecting duct principal cell,0.0334067257638934,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#83e987
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000717,kidney outer medulla collecting duct intercalated cell,0.0007481880067825212,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#33f19b
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000718,kidney inner medulla collecting duct principal cell,0.3606659975853218,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#7840e6
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000768,kidney connecting tubule epithelial cell,0.01651736596868164,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#e8684a
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1000850,macula densa epithelial cell,0.0002559590549519151,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#b8ba33
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1001107,kidney loop of Henle thin ascending limb epithelial cell,0.04635037828123102,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#321b4c
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1001108,kidney loop of Henle medullary thick ascending limb epithelial cell,0.000469914572680952,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#3f00e5
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1001131,vasa recta ascending limb cell,0.08564127456583438,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#853d9f
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_1001318,renal interstitial pericyte,0.005222614809449641,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#1efe3e
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_4030012,kidney loop of Henle short descending thin limb epithelial cell,0.01834320722733863,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#ed29c7
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_4030013,kidney loop of Henle long descending thin limb outer medulla epithelial cell,9.004508292154553e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#3d109f
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_4030014,kidney loop of Henle long descending thin limb inner medulla epithelial cell,0.06167221857170647,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#c8de15
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_4030016,epithelial cell of early distal convoluted tubule,5.906747421967272e-05,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#4e0355
Left kidney,renal papilla,http://purl.obolibrary.org/obo/CL_4030022,renal medullary fibroblast,0.3360057208817698,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#6529c9
Left kidney,renal papilla,https://purl.org/ccf/ASCTB-TEMP_descending-vasa-recta-endothelial,Descending Vasa Recta Endothelial ,0.01525699732988765,#VHMLeftKidney,VH_M_renal_papilla_L,renal papilla,VH_M_Kidney_L,#36a1b7
