organ,tool,cell_id,cell_label
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0019031,Goblet cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000765,Late hemoglobin+ erythroblast
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000186,Myofibroblast
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000775,Neutrophil
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000786,Plasma cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000057,MMP1+ fibroblast
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002357,Fetal HBG+ erythrocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000359,Vascular smooth muscle cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000646,Basal cell of bladder
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000669,Pericyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002543,Venous EC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002144,Capillary EC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000077,CRABP1+ mesothelial cell
uterus,pan-human-azimuth,https://purl.org/ccf/ASCTB-TEMP_endothelial-mesenchymal-transition-ec,Endothelial���mesenchymal transition EC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002633,Airway basal cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000178,Leydig cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000583,Alveolar macrophage
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0001054,CD14 monocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002138,Lymphatic EC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_1000347,Colonocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000076,Squamous epithelial cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000066,CLDN3+ epithelial cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000895,Naive CD4 T cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0017000,Pulmonary ionocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_1000432,Epithelial cell of conjunctiva
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000235,LYVE1 macrophage
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_1000413,Arterial EC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000790,abT (entry) cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000584,Enterocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000909,GZMB CD8 T cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000148,Eye melanocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000939,CD16 NK cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0008019,Mesenchymal stromal cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_4047017,Transit-amplifying cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000788,Naive B cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_4030057,Eccentric medium spiny neuron
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_4033057,Mammary luminal progenitor
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000704,Tip EC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0001065,ILC
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0019032,Tuft cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000897,Memory CD4 T cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_1000271,Multiciliated cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002201,Type B intercalated cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0002399,cDC2
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000576,Placenta CAMP+ monocyte
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000129,Microglia
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000792,Treg cell
uterus,pan-human-azimuth,http://purl.obolibrary.org/obo/CL_0000312,Keratinocyte
uterus,popv,http://purl.obolibrary.org/obo/CL_0000057,fibroblast
uterus,popv,http://purl.obolibrary.org/obo/CL_0002366,myometrial cell
uterus,popv,http://purl.obolibrary.org/obo/CL_0002149,epithelial cell of uterus
uterus,popv,http://purl.obolibrary.org/obo/CL_0000115,endothelial cell
uterus,popv,http://purl.obolibrary.org/obo/CL_0000359,vascular associated smooth muscle cell
uterus,popv,http://purl.obolibrary.org/obo/CL_0000066,epithelial cell
uterus,popv,http://purl.obolibrary.org/obo/CL_0000235,macrophage
uterus,popv,http://purl.obolibrary.org/obo/CL_0002138,endothelial cell of lymphatic vessel
uterus,popv,http://purl.obolibrary.org/obo/CL_0000084,T cell
uterus,popv,http://purl.obolibrary.org/obo/CL_0000067,ciliated epithelial cell
uterus,popv,http://purl.obolibrary.org/obo/CL_0000669,pericyte
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_1000347,Colonocyte
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000987,IgA plasma cell
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_4030026,BEST4+ epithelial
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000896,Activated CD4 T
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000798,TRGV2 gdT
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_4047017,TA
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000787,Memory B
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000499,Transitional Stromal 3 (C3+)
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000160,BEST2+ Goblet cell
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000906,Activated CD8 T
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000235,Macrophages
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0002038,Tfh
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000909,CD8 Tmem
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000788,STAT1+ Naive B
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000815,Treg
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000624,SELL+ CD4 T
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000625,SELL+ CD8 T
large intestine,celltypist,http://purl.obolibrary.org/obo/CL_0000097,CLC+ Mast cell
