,tool,modality,percentage,count,cell_label,cell_id
0,azimuth,sc_transcriptomics,0.052530319407569095,15017,regular ventricular cardiac myocyte,CL:0002131
1,azimuth,sc_transcriptomics,0.031482511464881256,9000,type II pneumocyte,CL:0002063
2,azimuth,sc_transcriptomics,0.029180790071115497,8342,fibroblast,CL:0000057
3,azimuth,sc_transcriptomics,0.02172992902442693,6212,monocyte-derived dendritic cell,CL:0011031
4,azimuth,sc_transcriptomics,0.019284787300654485,5513,type I pneumocyte,CL:0002062
5,azimuth,sc_transcriptomics,0.013670406089417329,3908,mesothelial cell,CL:0000077
6,azimuth,sc_transcriptomics,0.00967562519020684,2766,capillary endothelial cell,CL:0002144
7,azimuth,sc_transcriptomics,0.009658134906059684,2761,macrophage,CL:0000235
8,azimuth,sc_transcriptomics,0.008633204255036327,2468,alveolar capillary type 1 endothelial cell,CL:4028002
9,azimuth,sc_transcriptomics,0.00833586942453467,2383,Schwann cell,CL:0002573
10,azimuth,sc_transcriptomics,0.007877623979879176,2252,ciliated columnar cell of tracheobronchial tree,CL:0002145
11,azimuth,sc_transcriptomics,0.0062335372700464894,1782,endothelial cell of venule,CL:1000414
12,azimuth,sc_transcriptomics,0.0058102723936853075,1661,smooth muscle cell,CL:0000192
13,azimuth,sc_transcriptomics,0.004799333969979677,1372,endothelial cell of artery,CL:1000413
14,azimuth,sc_transcriptomics,0.0044635205143542765,1276,alveolar type 1 fibroblast cell,CL:4028004
15,azimuth,sc_transcriptomics,0.004197668195317501,1200,vein endothelial cell of respiratory system:bronchial vein,CL:4033008
16,azimuth,sc_transcriptomics,0.004043753694822526,1156,B cell,CL:0000236
17,azimuth,sc_transcriptomics,0.003952804217257314,1130,pericyte,CL:0000669
18,azimuth,sc_transcriptomics,0.0037813994326151824,1081,"CD8-positive, alpha-beta T cell",CL:0000625
19,azimuth,sc_transcriptomics,0.00369044995504997,1055,respiratory basal cell:resting,CL:0002633
20,azimuth,sc_transcriptomics,0.003127262805511538,894,alveolar macrophage,CL:0000583
21,azimuth,sc_transcriptomics,0.0023926708713309756,684,brush cell of trachebronchial tree,CL:0002075
22,azimuth,sc_transcriptomics,0.002354192246207232,673,adipocyte,CL:0000136
23,azimuth,sc_transcriptomics,0.002340200018889507,669,pulmonary ionocyte,CL:0017000
24,azimuth,sc_transcriptomics,0.001962409881310932,561,endothelial cell of lymphatic vessel,CL:0002138
