"cell_id","count"
"ASCTB-TEMP:lec1-ackr4-",1
"ASCTB-TEMP:lec2-madcam1-",1
"ASCTB-TEMP:lec3-adgrg3-",1
"ASCTB-TEMP:lec4-stab2-",1
"ASCTB-TEMP:lec5-cldn11-",1
"ASCTB-TEMP:lec6-adamts4-",1
"ASCTB-TEMP:lti-like-ncr-ilc3",2
"ASCTB-TEMP:lymphatic",1
"ASCTB-TEMP:lymphoid-dc",1
"ASCTB-TEMP:lyve1-macrophage",1
"ASCTB-TEMP:lz-gc-cell",1
"ASCTB-TEMP:m-x-cells-mln-ghrl-",1
"ASCTB-TEMP:m1-macrophage",1
"ASCTB-TEMP:m2-macrophage",1
"ASCTB-TEMP:macrophages",1
"ASCTB-TEMP:mait-cell",1
"ASCTB-TEMP:mast-cell",1
"ASCTB-TEMP:mature-arterial-ec",1
"ASCTB-TEMP:mature-venous-ec",1
"ASCTB-TEMP:megakaryocyte",1
"ASCTB-TEMP:memory-b",1
"ASCTB-TEMP:mesoderm-1-hand1-",1
"ASCTB-TEMP:mesoderm-2-zeb2-",1
"ASCTB-TEMP:mesothelium",1
"ASCTB-TEMP:mesothelium-prg4-",1
"ASCTB-TEMP:mesothelium-rgs5-",1
"ASCTB-TEMP:microfold-cell",1
"ASCTB-TEMP:mln-stroma-fmo2-",1
"ASCTB-TEMP:mlto",1
"ASCTB-TEMP:mmp9-inflammatory-macrophage",1
"ASCTB-TEMP:monocyte-derived-m",1
"ASCTB-TEMP:monocytes",1
"ASCTB-TEMP:mpo-mono-neutrophil",1
"ASCTB-TEMP:muc1-enterocyte",1
"ASCTB-TEMP:myofibroblast",1
"ASCTB-TEMP:myofibroblast-rspo2-",1
"ASCTB-TEMP:n-cells-nts-",1
"ASCTB-TEMP:naive-b",1
"ASCTB-TEMP:nerve",1
"ASCTB-TEMP:neuroblast",1
"ASCTB-TEMP:neuroendocrine",1
"ASCTB-TEMP:neutrophil",1
"ASCTB-TEMP:nk",1
"ASCTB-TEMP:nk-cell",1
"ASCTB-TEMP:nk-t-cell",1
"ASCTB-TEMP:non-classical-monocytes",1
"ASCTB-TEMP:paneth",1
"ASCTB-TEMP:pdc",1
"ASCTB-TEMP:pericyte",1
"ASCTB-TEMP:peritubular-capilary-endothelial",1
"ASCTB-TEMP:plasma",1
"ASCTB-TEMP:pre-b",1
"ASCTB-TEMP:pro-b",1
"ASCTB-TEMP:progenitor-neurog3-",1
"ASCTB-TEMP:proximal-progenitor",1
"ASCTB-TEMP:rbc",1
"ASCTB-TEMP:sell-cd4-t",1
"ASCTB-TEMP:sell-cd8-t",1
"ASCTB-TEMP:smc-part1-capn3-",1
"ASCTB-TEMP:smc-plpp2-",1
"ASCTB-TEMP:smooth-muscle",1
"ASCTB-TEMP:stat1-naive-b",1
"ASCTB-TEMP:stem-cells",1
"ASCTB-TEMP:stroma",1
"ASCTB-TEMP:stromal-1-adamdec1-",1
"ASCTB-TEMP:stromal-1-ccl11-",1
"ASCTB-TEMP:stromal-2-ch25h-",1
"ASCTB-TEMP:stromal-2-npy-",1
"ASCTB-TEMP:stromal-3-c7-",1
"ASCTB-TEMP:stromal-3-kcnn3-",1
"ASCTB-TEMP:stromal-4-mmp1-",1
"ASCTB-TEMP:t-helper",1
"ASCTB-TEMP:t-killer",1
"ASCTB-TEMP:t-reg",1
"ASCTB-TEMP:t-reticular",1
"ASCTB-TEMP:ta",1
"ASCTB-TEMP:tfh",1
"ASCTB-TEMP:th1",1
"ASCTB-TEMP:th17",1
"ASCTB-TEMP:transitional-club-at2",1
"ASCTB-TEMP:transitional-stromal-3-c3-",1
"ASCTB-TEMP:trdv2-trgv9-gdt",1
"ASCTB-TEMP:treg",1
"ASCTB-TEMP:trgv2-gdt",1
"ASCTB-TEMP:trgv4-gdt",1
"ASCTB-TEMP:trgv5-7-gdt",1
"ASCTB-TEMP:tuft",1
"ASCTB-TEMP:venous-capillary",1
"CL:0000037",2
"CL:0000057",7
"CL:0000066",1
"CL:0000071",2
"CL:0000077",2
"CL:0000084",4
"CL:0000097",4
"CL:0000113",1
"CL:0000115",5
"CL:0000131",1
"CL:0000136",2
"CL:0000148",1
"CL:0000158",4
"CL:0000165",1
"CL:0000182",2
"CL:0000186",2
"CL:0000187",1
"CL:0000192",4
"CL:0000232",1
"CL:0000233",1
"CL:0000235",8
"CL:0000236",3
"CL:0000313",2
"CL:0000359",3
"CL:0000451",2
"CL:0000453",1
"CL:0000492",3
"CL:0000499",1
"CL:0000545",1
"CL:0000546",1
"CL:0000576",2
"CL:0000583",2
"CL:0000623",4
"CL:0000624",1
"CL:0000625",2
"CL:0000646",1
"CL:0000648",1
"CL:0000650",1
"CL:0000653",1
"CL:0000669",7
"CL:0000746",1
"CL:0000767",2
"CL:0000775",4
"CL:0000784",3
"CL:0000786",4
"CL:0000787",1
"CL:0000788",1
"CL:0000791",1
"CL:0000792",1
"CL:0000794",2
"CL:0000798",1
"CL:0000814",4
"CL:0000815",2
"CL:0000860",1
"CL:0000863",1
"CL:0000875",3
"CL:0000890",1
"CL:0000895",2
"CL:0000897",1
"CL:0000899",1
"CL:0000900",1
"CL:0000909",1
"CL:0000910",1
"CL:0000912",1
"CL:0000913",2
"CL:0000921",1
"CL:0000938",1
"CL:0000939",1
"CL:0000990",1
"CL:0001043",1
"CL:0001044",1
"CL:0001050",2
"CL:0001056",2
"CL:0001058",2
"CL:0001065",2
"CL:0001078",1
"CL:0002057",1
"CL:0002062",2
"CL:0002063",2
"CL:0002068",1
"CL:0002071",1
"CL:0002072",1
"CL:0002075",1
"CL:0002129",5
"CL:0002131",4
"CL:0002138",7
"CL:0002144",5
"CL:0002153",1
"CL:0002187",1
"CL:0002201",1
"CL:0002241",1
"CL:0002326",1
"CL:0002340",1
"CL:0002341",1
"CL:0002350",2
"CL:0002370",1
"CL:0002393",1
"CL:0002394",3
"CL:0002396",1
"CL:0002399",3
"CL:0002457",1
"CL:0002480",1
"CL:0002538",1
"CL:0002543",2
"CL:0002548",1
"CL:0002573",3
"CL:0002598",1
"CL:0002633",1
"CL:0005006",1
"CL:0005012",2
"CL:0009006",1
"CL:0009009",1
"CL:0009011",1
"CL:0009012",1
"CL:0009016",1
"CL:0009017",1
"CL:0009080",1
"CL:0009089",1
"CL:0010003",1
"CL:0010005",1
"CL:0010008",1
"CL:0010020",1
"CL:0011031",4
"CL:0017000",1
"CL:0019001",1
"CL:0019003",1
"CL:0019032",1
"CL:1000271",1
"CL:1000312",1
"CL:1000320",1
"CL:1000331",1
"CL:1000334",1
"CL:1000343",1
"CL:1000398",1
"CL:1000412",1
"CL:1000413",4
"CL:1000414",3
"CL:1000452",1
"CL:1000458",1
"CL:1000477",1
"CL:1000488",1
"CL:1000491",1
"CL:1000495",1
"CL:1000597",1
"CL:1000692",1
"CL:1000714",1
"CL:1000715",1
"CL:1000716",1
"CL:1000717",1
"CL:1000718",1
"CL:1000768",1
"CL:1000850",1
"CL:1001005",1
"CL:1001107",1
"CL:1001108",1
"CL:1001109",1
"CL:1001131",1
"CL:1001318",2
"CL:1001428",1
"CL:1001516",1
"CL:1001603",1
"CL:2000016",1
"CL:2000055",1
"CL:4006000",1
"CL:4023054",1
"CL:4028003",1
"CL:4028004",1
"CL:4028006",2
"CL:4030009",1
"CL:4030010",1
"CL:4030011",1
"CL:4030012",1
"CL:4030013",1
"CL:4030014",1
"CL:4030016",1
"CL:4030017",1
"CL:4030018",1
"CL:4030020",1
"CL:4030022",1
"CL:4033005",1
"CL:4033022",1
"CL:4033023",1
"CL:4033041",1
"CL:4033042",1
"CL:4033043",1
"CL:4033044",1
