"cell_id","count"
"ASCTB-TEMP:-cells-ins-",1
"ASCTB-TEMP:activated-cd4-t",1
"ASCTB-TEMP:activated-cd8-t",1
"ASCTB-TEMP:activated-t",1
"ASCTB-TEMP:adult-glia",1
"ASCTB-TEMP:alveolar-m-proliferating",1
"ASCTB-TEMP:angiogenic-pericyte",1
"ASCTB-TEMP:arterial-capillary",1
"ASCTB-TEMP:b",1
"ASCTB-TEMP:best2-goblet-cell",1
"ASCTB-TEMP:best4-epithelial",1
"ASCTB-TEMP:branch-a1-imn-",1
"ASCTB-TEMP:branch-a2-ipan-in-",1
"ASCTB-TEMP:branch-a3-ipan-in-",1
"ASCTB-TEMP:branch-a4-in-",1
"ASCTB-TEMP:branch-b1-emn-",1
"ASCTB-TEMP:branch-b2-emn-",1
"ASCTB-TEMP:branch-b3-ipan-",1
"ASCTB-TEMP:cd4-t-cell",1
"ASCTB-TEMP:cd57-enterocyte",1
"ASCTB-TEMP:cd66-enterocyte",1
"ASCTB-TEMP:cd68-macrophage",1
"ASCTB-TEMP:cd7-immune",1
"ASCTB-TEMP:cd8-t",1
"ASCTB-TEMP:cd8-tmem",1
"ASCTB-TEMP:cdc1",1
"ASCTB-TEMP:cdc2",1
"ASCTB-TEMP:clc-mast-cell",1
"ASCTB-TEMP:cldn10-cells",1
"ASCTB-TEMP:clp",1
"ASCTB-TEMP:colonocyte",1
"ASCTB-TEMP:contractile-pericyte-pln-",1
"ASCTB-TEMP:cx3cr1-cd8-tmem",1
"ASCTB-TEMP:cycling-b-cell",1
"ASCTB-TEMP:cycling-ec",1
"ASCTB-TEMP:cycling-encc-glia",1
"ASCTB-TEMP:cycling-neuroblast",1
"ASCTB-TEMP:cycling-plasma-cell",1
"ASCTB-TEMP:cycling-stromal",1
"ASCTB-TEMP:cycling-ta",1
"ASCTB-TEMP:d-cells-sst-",1
"ASCTB-TEMP:dc",1
"ASCTB-TEMP:descending-vasa-recta-endothelial",1
"ASCTB-TEMP:differentiating-glia",1
"ASCTB-TEMP:distal-progenitor",1
"ASCTB-TEMP:dz-gc-cell",1
"ASCTB-TEMP:ec-cells-npw-",1
"ASCTB-TEMP:ec-cells-tac1-",1
"ASCTB-TEMP:eecs",1
"ASCTB-TEMP:encc-glia-progenitor",1
"ASCTB-TEMP:endothelial",1
"ASCTB-TEMP:enterocyte",1
"ASCTB-TEMP:fcrl4-memory-b",1
"ASCTB-TEMP:fdc",1
"ASCTB-TEMP:fetal-arterial-ec",1
"ASCTB-TEMP:fetal-venous-ec",1
"ASCTB-TEMP:gc-b-cell",1
"ASCTB-TEMP:gdt",1
"ASCTB-TEMP:germ",1
"ASCTB-TEMP:glia-1-dhh-",1
"ASCTB-TEMP:glia-2-eln-",1
"ASCTB-TEMP:glia-3-bcan-",1
"ASCTB-TEMP:goblet",1
"ASCTB-TEMP:goblet-cell",1
"ASCTB-TEMP:i-cells-cck-",1
"ASCTB-TEMP:icc",1
"ASCTB-TEMP:iga-plasma-cell",1
"ASCTB-TEMP:igg-plasma-cell",1
"ASCTB-TEMP:igm-plasma-cell",1
"ASCTB-TEMP:ilc2",1
"ASCTB-TEMP:ilc3",1
"ASCTB-TEMP:ilcp",1
"ASCTB-TEMP:immature-b",1
"ASCTB-TEMP:immature-pericyte",1
"ASCTB-TEMP:interstitial-m-perivascular",1
"ASCTB-TEMP:k-cells-gip-",1
"ASCTB-TEMP:l-cells-pyy-",1
