source,dataset,organ,as,as_iri,age,sex,bmi,tool,cell_type,cell_type_label,cell_type_count,cell_type_percentage,biomarker_label,mean_expression_value
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,SNX9,1.455258
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,SNX9,1.455258
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,SNX9,1.455258
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,SNX9,1.455258
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,COL4A2,2.763921
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,COL4A2,2.763921
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,COL4A2,2.763921
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,COL4A2,2.763921
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,KMT2C,1.716147
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,KMT2C,1.716147
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,KMT2C,1.716147
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,KMT2C,1.716147
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,XIST,2.534949
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,XIST,2.534949
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,XIST,2.534949
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,XIST,2.534949
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,CPM,1.521251
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H6$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,40,Female,20,celltypist,CL:0000136,Adip1,12,2.93E-03,CPM,1.521251
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,heart,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,70,Female,25,celltypist,CL:0000136,Adip1,6,1.24E-03,FABP4,2.78588
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,heart,heart left ventricle,http://purl.obolibrary.org/obo/UBERON_0002084,70,Female,25,celltypist,CL:0000136,Adip1,6,1.24E-03,FABP4,2.78588
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D4$interventricular%20septum,heart,Posteromedial head of posterior papillary muscle of left ventricle,http://purl.org/sig/ont/fma/fma7267,70,Female,25,celltypist,CL:0000136,Adip1,6,1.24E-03,FABP4,2.78588
